Case Number,Problem Category,Geolocation (Latitude),Geolocation (Longitude),Opened Date,Subject,Status,Public Description,SAP URL,Closed Date,Age (Days)
96439,Pothole,32.74862282,-117.1511641,7/28/16,"Pothole  at 1400-1414 University Ave, San Diego, CA 92103, USA",Closed,Nasty pothole on corner of University Ave and Richmond where the Mc Donalds is at. I thought I blew a tire it was so loud when I hit it at 5mph turning the corner. Sorry I didnt get a picture of it.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uaEFAAY,8/5/16,7
96440,Street Sweeping,32.93821616,-117.229662,7/28/16,"Debris in Street at CARMEL CREEK RD & VALLEY CENTRE DR,, 92130",Duplicate,Debris still in street.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uaFIAAY,,33
96441,Street Light,32.711461,-117.167053,7/28/16,"Street Light Light Out at 467-499 West Market Street San Diego, CA 92101",Assigned,All 3 street lights out as well as tree lights on Market between State  St and Columbia  St,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uaG6AAI,,33
96442,Street Light,32.736961,-117.222571,7/28/16,"Street Light Light Out at 3230 Whittier Street, San Diego, CA, United States",Assigned,"street light has been out for over a week.  No light in entire area and in front of my house.  Live alone and need light for securitry.Previous request submitted",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uaGBAAY,,33
96443,Street Light,32.7519623,-117.2235874,7/28/16,"Street Light Light Out at 2877 Barnard Street, San Diego, CA, United States",Assigned,"The entire street is not lit at 8:45pm at night. Thursday, 7/28/2016.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uaHEAAY,,33
96444,,32.7492681,-117.2256586,7/28/16,"Traffic Sign  at 2799 Adrian Street, San Diego, CA, United States",Acknowledged,"Need traffic sign. Cross walk or slow. Across Bob St to Adrian. Loma Palisades operates a business here. There is frequent cut through traffic from over the hill in Point Loma or PL Heights area making crossing very dangerous. They do not stop to allow right of way to pedestrians. I realize the City can not install speed humps due to being an emergency vehicle route. A cross walk, preferably flashing would help a lot.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uaHYAAY,,33
96447,Tree Hazard,32.93971967,-117.2594091,7/28/16,"Tree Hazard  at 140-186 Carmel Valley Rd, Del Mar, CA 92014, USA",Closed - Referred,"Tree branches and other plants have overgrown and partially blocking the bike lane near the junction between Carmel Valley Road heading North to S Camino Del Mar, see photos. The last one is just on S Camino Del Mar heading North.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uaL1AAI,,33
96448,Tree Hazard,32.94591139,-117.2600906,7/28/16,"Tree Hazard  at 101-387 S Camino Del Mar, Del Mar, CA 92014, USA",Closed - Referred,"Tree/plants partially blocking the cycle lane Northbound on S Camino Del Mar a couple hundred yards before the junction with Del Mar Heights Rd, see photos. It would be great to see the plants trimmed back all along the cycle path.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uaLGAAY,,33
96450,Tree Hazard,32.684826,-117.105553,7/28/16,"Tree Hazard  at 4107-4141 Marine View Avenue San Diego, CA 92113",Closed - Referred,There are several tree along the sidewalk that need trimming.  The trees have grown over the power lines.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uaM4AAI,,33
96451,Street Light,32.91356474,-117.1385341,7/28/16,"Light Out at 8575 NEW SALEM ST, 92126",Closed,LIGHTS OUT AT BASKET BALL COURT IN MIRA MESA PARK,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uaMJAAY,8/27/16,29
96452,Street Sweeping,32.94711632,-117.2531302,7/28/16,"Street Sweeping  at 2331 Cordero Rd, Del Mar, CA 92014, USA",Closed,"There was some road repair on the stretch of Cordero Road from Mar Scenic Drive to Recuerdo Drive.  After the repair, there remains some small and sharp rock debris on the road, especially on Cordero Road at the intersection of Cordero Road and Durango Drive.  It would be very helpful if a street sweeper can clean up the debris on Cordero Road from Mar Scenic Drive to Recuerdo Drive.  This stretch of road is used by walkers (elderly folk exercising; people walking dogs), kids riding bikes, etc.  The sharp rock debris could be harmful to kids and adults.  Thank you.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uaO0AAI,8/19/16,21
96453,Street Sweeping,32.91447083,-117.2460459,7/28/16,"Street Sweeping  at 11355 N Torrey Pines Rd, San Diego, CA 92121, USA",Closed,"There are some broken glass fragments in the bike lane of the southbound stretch of N. Torrey Pines Road approximately 500 yards south of the traffic signal at the top of the hill by National University.  These fragments could lead to flat tires and accidents to bicycle riders.  Therefore, street sweeping of the bike lane of the southbound N. Torrey Pines Road would enhance the safety of the many cyclists who ride on this road.  In addition, the northbound stretch of N. Torrey Pines Road from National University to the beach has three areas of broken glass on the side of the road.  The glass fragments are on the right side of the bike lane on the downhill grade.  These fragments appeared during the Del Mar Fair and are probably due to broken beer bottles etc.  The glass fragments are potentially dangerous to cyclists.  In summary, street sweeping of the bike lanes of both the northbound and southbound N. Torrey Pines Road in the grade from the beach to National University at the top of the hill would likely prevent accidents.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uaOAAAY,8/6/16,8
96456,Street Light,32.7487796,-117.0795412,7/29/16,Street Light Light Out at 54th and university avenue,Duplicate,Lights out on all 4 corners of 54th street and university.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uaT5AAI,,32
96457,Traffic Signal,32.71571111,-117.1592722,7/29/16,"Light Out at 06TH AV & BROADWAY,, 92101",Assigned,WB RED OUT FOR ABOUT A WEEK,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uaTFAAY,,32
96462,Traffic Signal,32.82856839,-117.126742,7/29/16,Traffic Signal Light Out at 4880?4898 Ruffin Rd & Lightwave Av,Closed,Traffic signal light for green left turn into Lightwave Ave takes forever with no incoming traffic. Please check sensors on the intersection,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uax5AAA,8/11/16,13
96465,Street Light,32.71577007,-117.1539024,7/29/16,Street Light Light On During Day at 1196 Broadway,Assigned,One of the acorn style LED lights is a dayburner. It is at the northwest corner of Broadway & Park Blvd.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ub3IAAQ,,32
96467,Faded striping,32.78707364,-117.2542348,7/29/16,Faded striping  at 700?710 San Rafael Pl,Assigned,City workers got the red paint from stripe at San Rafael and ocean front walk all over my wall I can't get it off need remover,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ubAxAAI,,32
96468,Pothole,32.772126,-117.206684,7/29/16,"Pothole  at San Diego Freeway San Diego, CA 92110",Closed - Referred,"Near morena,",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ubBHAAY,,32
96469,Pothole,32.885724,-117.243789,7/29/16,"Pothole  at 10015-10099 North Torrey Pines Road , san diego",Closed,"Heading north, right after la Jolla shores. Trees pushing Rd up",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ubHFAAY,8/16/16,18
96472,Street Light,32.74879125,-117.0794474,7/29/16,"Light Out at 54TH ST & UNIVERSITY AV,, 92105",Duplicate,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ubXNAAY,,32
