tract,block_group,count,dump_count,lighting_count,Id,Id2,Estimate; Median age -- - Total:,Estimate; Median age -- - Male,Estimate; Median age -- - Female,Estimate; Total,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more",Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Estimate; Total: - With public assistance income,Estimate; Total: - No public assistance income,Estimate; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars),Estimate; Total: - Owner occupied,Estimate; Total: - Renter occupied,Estimate; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 or more",Estimate; No cash rent,Estimate; Median value (dollars)
100,2,1,,3.0,1500000US060730001002,60730001002,60.2,60.0,60.2,1466,1260,1247,0,0,5,0,0,8,0,8,206,9,10,0,19,8,55,17,0,9,32,54,120,38,5,112,187,106406,0,675,81606,661,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,982100
202,3,1,,1.0,1500000US060730002023,60730002023,37.7,39.4,33.8,2329,1943,1643,22,21,183,0,0,74,0,74,386,26,26,39,73,0,80,29,50,14,174,13,157,130,89,63,158,81118,11,1110,53922,571,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,29,68,198,197,26,0,477100
300,3,2,1.0,,1500000US060730003003,60730003003,42.0,41.6,50.7,1330,1198,1086,0,0,26,2,0,84,0,84,132,40,98,0,30,47,20,18,0,16,75,12,92,137,64,52,92,95553,0,793,60684,316,477,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,13,12,292,0,90,38,15,573900
500,1,6,,,1500000US060730005001,60730005001,34.8,34.4,36.6,773,701,616,0,24,0,0,0,61,0,61,72,18,8,0,26,22,26,15,17,13,51,53,50,8,31,65,25,62500,0,428,54485,181,247,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,49,15,92,28,9,25,7,591100
500,2,1,,,1500000US060730005002,60730005002,41.1,41.2,41.0,1088,923,787,18,0,69,0,22,27,0,27,165,55,43,0,7,51,47,5,50,41,102,81,59,26,25,36,9,53207,0,637,37982,174,463,0,10,0,0,0,0,0,0,0,0,17,0,0,22,7,97,103,50,89,45,23,0,631900
600,1,1,,,1500000US060730006001,60730006001,33.9,32.8,34.6,685,510,377,36,0,54,7,0,36,0,36,175,15,18,7,22,7,17,17,66,0,39,60,46,25,0,23,7,53563,0,369,37732,33,336,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,34,36,133,34,45,16,9,507400
600,2,5,4.0,,1500000US060730006002,60730006002,35.3,40.7,34.7,1056,872,776,29,0,20,0,0,47,14,33,184,49,28,0,54,26,30,10,26,8,85,0,157,55,42,0,5,55043,23,552,36377,168,407,0,0,0,0,0,0,6,0,0,0,0,7,8,24,0,59,64,70,24,92,45,8,442100
600,3,18,1.0,5.0,1500000US060730006003,60730006003,46.4,43.1,55.9,1158,937,747,83,0,61,12,0,34,0,34,221,34,64,40,73,22,12,7,52,0,53,78,80,106,50,29,33,60880,8,725,46814,262,471,0,0,0,0,41,8,0,0,15,0,0,15,0,7,6,23,14,170,71,68,33,0,411400
700,1,5,,3.0,1500000US060730007001,60730007001,38.3,38.4,36.7,1171,1060,924,55,0,56,0,0,25,0,25,111,14,16,55,30,72,47,0,102,26,44,58,111,29,26,75,10,49338,28,687,42126,156,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,82,51,228,70,83,30,0,495700
700,2,2,,,1500000US060730007002,60730007002,36.6,39.8,35.5,2024,1828,1696,70,0,47,0,0,15,0,15,196,63,44,16,15,10,32,28,13,35,70,279,124,169,46,88,39,71698,16,1055,45893,367,704,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,100,68,116,209,76,76,45,482200
