tract,blockgroup,male_5_17,male_18_29,male_30_60,male_61plus,female_5_17,female_18_29,female_30_60,female_61plus,rent_0_500,rent_501_1000,rent_1000plus,income_0_25,income_25_50,income_50_100,income_100_150,income_150plus,white_per,baa_per,aian_per,asian_per,pi_per,other_per,tp_per,latin_per,publica_per,ownerocc_per,median_house_income,median_structure_year,median_home_value
100.0,1.0,0.192567567568,0.00168918918919,0.430743243243,0.375,0.156739811912,0.0673981191223,0.42789968652,0.347962382445,0.0,0.111111111111,0.888888888889,0.197132616487,0.10752688172,0.123655913978,0.207885304659,0.363799283154,0.89837398374,0.0,0.0,0.00975609756098,0.0,0.0,0.0,0.0918699186992,0.0161290322581,0.838709677419,106250,1939-,881800
100.0,2.0,0.0925039872408,0.0478468899522,0.362041467305,0.497607655502,0.138259833135,0.0536352800954,0.295589988081,0.512514898689,0.0,0.571428571429,0.428571428571,0.0562962962963,0.131851851852,0.305185185185,0.0637037037037,0.442962962963,0.850613915416,0.0,0.0,0.00341064120055,0.0,0.0,0.00545702592087,0.140518417462,0.0,0.979259259259,106406,1939-,982100
201.0,1.0,0.154004106776,0.0831622176591,0.535934291581,0.226899383984,0.0855821125675,0.15265998458,0.371626831149,0.390131071704,0.152416356877,0.403345724907,0.444237918216,0.159090909091,0.207386363636,0.149621212121,0.169507575758,0.314393939394,0.793483047116,0.0,0.0,0.0449141347424,0.0,0.0,0.0184940554822,0.14310876266,0.0,0.458333333333,97976,1962,779000
202.0,1.0,0.143386897404,0.307787391842,0.437577255871,0.111248454883,0.0576131687243,0.185185185185,0.600823045267,0.156378600823,0.0,0.316702819957,0.683297180043,0.172514619883,0.133040935673,0.402046783626,0.111111111111,0.181286549708,0.805405405405,0.0,0.0,0.0440154440154,0.0,0.0,0.0,0.150579150579,0.0,0.326023391813,64107,1954,670000
202.0,2.0,0.0,0.155619596542,0.590778097983,0.253602305476,0.300952380952,0.158095238095,0.52,0.0209523809524,0.0,0.418699186992,0.581300813008,0.070351758794,0.329145728643,0.298994974874,0.0778894472362,0.223618090452,0.923165137615,0.0,0.0,0.0183486238532,0.0,0.0,0.019495412844,0.0389908256881,0.0,0.381909547739,75793,1959,"1,000,000+"
202.0,3.0,0.159906396256,0.0631825273011,0.592043681747,0.184867394696,0.0888252148997,0.182425978988,0.553963705826,0.174785100287,0.0,0.110909090909,0.889090909091,0.14629794826,0.154326494202,0.306868867083,0.195361284567,0.197145405888,0.705452984113,0.00944611421211,0.00901674538429,0.0785744954916,0.0,0.0,0.0317732932589,0.16573636754,0.00981266726137,0.509366636931,81118,1959,477100
300.0,1.0,0.137426900585,0.134502923977,0.350877192982,0.377192982456,0.0402298850575,0.247126436782,0.563218390805,0.149425287356,0.118081180812,0.169741697417,0.712177121771,0.323076923077,0.192307692308,0.307692307692,0.0,0.176923076923,0.742028985507,0.0231884057971,0.0,0.127536231884,0.0,0.0,0.0202898550725,0.0869565217391,0.0,0.305128205128,44063,1956,509600
300.0,2.0,0.0861244019139,0.334928229665,0.507177033493,0.0717703349282,0.121518987342,0.283544303797,0.594936708861,0.0,0.0,0.171755725191,0.828244274809,0.265129682997,0.28530259366,0.164265129683,0.0489913544669,0.236311239193,0.647350993377,0.0,0.0,0.0927152317881,0.0,0.0,0.0,0.259933774834,0.0432276657061,0.201729106628,47569,1972,-
300.0,3.0,0.00375939849624,0.275689223058,0.551378446115,0.169172932331,0.0093984962406,0.325187969925,0.201127819549,0.464285714286,0.0,0.0909090909091,0.909090909091,0.21185372005,0.12736443884,0.225725094578,0.253467843632,0.1815889029,0.816541353383,0.0,0.0,0.0195488721805,0.0015037593985,0.0,0.0631578947368,0.0992481203008,0.0,0.398486759142,95553,1975,573900
300.0,4.0,0.0,0.350220264317,0.337004405286,0.312775330396,0.0463458110517,0.335115864528,0.256684491979,0.361853832442,0.0763358778626,0.318066157761,0.605597964377,0.111753371869,0.28323699422,0.393063583815,0.179190751445,0.0327552986513,0.776354679803,0.0118226600985,0.0,0.0709359605911,0.0,0.0,0.0256157635468,0.115270935961,0.0,0.242774566474,72813,1977,441300
