tract,blockgroup,cv_count
100.0,1.0,13
100.0,2.0,9
201.0,1.0,12
202.0,1.0,9
202.0,2.0,8
202.0,3.0,14
300.0,1.0,7
300.0,2.0,10
300.0,3.0,11
300.0,4.0,5
300.0,5.0,2
400.0,1.0,7
400.0,2.0,10
400.0,3.0,3
500.0,1.0,13
500.0,2.0,2
500.0,3.0,2
600.0,1.0,4
600.0,2.0,12
600.0,3.0,5
700.0,1.0,16
700.0,2.0,17
700.0,3.0,3
800.0,1.0,6
800.0,2.0,2
800.0,3.0,4
800.0,4.0,3
900.0,1.0,4
900.0,2.0,2
900.0,3.0,4
900.0,4.0,4
900.0,5.0,9
900.0,6.0,4
1000.0,1.0,10
1000.0,2.0,4
1000.0,3.0,2
1000.0,4.0,12
1100.0,1.0,14
1100.0,2.0,16
1100.0,3.0,7
1200.0,1.0,10
1200.0,2.0,9
1200.0,3.0,4
1200.0,4.0,10
1300.0,1.0,8
1300.0,2.0,6
1300.0,3.0,2
1300.0,4.0,8
1300.0,5.0,7
1400.0,1.0,9
1400.0,2.0,11
1400.0,3.0,5
1500.0,1.0,3
1500.0,2.0,7
1500.0,3.0,6
1500.0,4.0,7
1600.0,1.0,12
1600.0,2.0,13
1600.0,3.0,11
1600.0,4.0,4
1700.0,1.0,4
1700.0,2.0,9
1700.0,3.0,13
1700.0,4.0,4
1800.0,2.0,8
1800.0,3.0,3
1800.0,4.0,7
1800.0,5.0,1
1800.0,6.0,7
1900.0,1.0,3
1900.0,2.0,7
1900.0,3.0,3
2001.0,1.0,4
2001.0,2.0,11
2001.0,3.0,5
2002.0,1.0,2
2002.0,2.0,7
2100.0,1.0,8
2100.0,2.0,6
2100.0,3.0,4
2100.0,4.0,10
2100.0,5.0,12
2201.0,1.0,15
2201.0,2.0,8
2202.0,1.0,13
2202.0,2.0,8
2202.0,3.0,8
2301.0,1.0,14
2301.0,2.0,8
2301.0,3.0,2
2302.0,1.0,12
2302.0,2.0,10
2302.0,3.0,17
2401.0,1.0,8
2401.0,2.0,16
2401.0,3.0,9
2402.0,1.0,11
2402.0,2.0,28
2501.0,1.0,10
2501.0,2.0,7
2501.0,3.0,8
2502.0,1.0,16
2502.0,2.0,20
2502.0,3.0,9
2601.0,1.0,8
2601.0,2.0,19
2601.0,3.0,16
2602.0,1.0,5
2602.0,2.0,12
2602.0,3.0,6
2702.0,1.0,6
2702.0,2.0,11
2702.0,3.0,7
2703.0,1.0,13
2703.0,2.0,4
2703.0,3.0,3
2703.0,4.0,12
2705.0,1.0,18
2705.0,2.0,10
2707.0,1.0,14
2707.0,2.0,5
2707.0,3.0,6
2707.0,4.0,8
2708.0,1.0,9
2708.0,3.0,8
2708.0,4.0,7
2709.0,1.0,9
2709.0,2.0,45
2710.0,1.0,11
2710.0,2.0,9
2711.0,1.0,2
2711.0,2.0,14
2712.0,1.0,3
2712.0,2.0,5
2712.0,3.0,4
2801.0,1.0,16
2801.0,2.0,1
2803.0,1.0,13
2803.0,2.0,6
2803.0,3.0,1
2803.0,4.0,23
2804.0,1.0,65
2804.0,2.0,39
2804.0,3.0,7
2902.0,1.0,22
2902.0,2.0,29
2903.0,1.0,10
2903.0,2.0,9
2903.0,3.0,1
2904.0,1.0,52
2904.0,2.0,28
2904.0,3.0,13
2904.0,4.0,17
2905.0,1.0,15
2905.0,2.0,9
2905.0,3.0,9
3001.0,1.0,12
3001.0,2.0,9
3001.0,3.0,7
3003.0,1.0,23
3003.0,2.0,21
3003.0,3.0,12
3004.0,1.0,19
3004.0,2.0,16
3101.0,1.0,17
3101.0,2.0,18
3101.0,3.0,11
3103.0,1.0,13
3103.0,2.0,21
3103.0,3.0,10
3105.0,1.0,27
3105.0,2.0,8
3107.0,1.0,8
3107.0,2.0,14
3107.0,3.0,2
3109.0,1.0,2
3109.0,2.0,1
3109.0,3.0,5
3111.0,1.0,9
3111.0,2.0,17
3111.0,3.0,7
3112.0,1.0,14
3112.0,2.0,11
3113.0,1.0,14
3113.0,2.0,4
3114.0,2.0,11
3115.0,1.0,1
3115.0,2.0,10
3115.0,3.0,7
3115.0,4.0,9
3201.0,1.0,2
3201.0,2.0,6
3202.0,1.0,10
3202.0,2.0,8
3208.0,2.0,2
3208.0,4.0,6
3208.0,5.0,2
3209.0,1.0,2
3209.0,2.0,1
3211.0,1.0,9
3211.0,2.0,4
3212.0,1.0,2
3212.0,2.0,8
3213.0,1.0,2
3213.0,2.0,1
3214.0,1.0,4
3301.0,1.0,10
3301.0,2.0,12
3303.0,1.0,6
3303.0,2.0,9
3304.0,1.0,5
3304.0,2.0,7
3305.0,1.0,7
3305.0,2.0,7
3305.0,3.0,9
3401.0,1.0,8
3401.0,2.0,9
3401.0,3.0,8
3401.0,4.0,12
3403.0,2.0,18
3403.0,3.0,11
3404.0,1.0,13
3404.0,2.0,9
3501.0,1.0,37
3501.0,2.0,6
3501.0,3.0,5
3502.0,1.0,2
3502.0,2.0,10
3502.0,3.0,16
3601.0,1.0,19
3602.0,1.0,8
3602.0,2.0,17
3603.0,1.0,14
3603.0,2.0,7
3603.0,3.0,5
3901.0,1.0,10
3901.0,2.0,10
3901.0,3.0,18
3902.0,1.0,11
3902.0,2.0,32
3902.0,3.0,11
3902.0,4.0,18
4000.0,1.0,22
4000.0,2.0,12
4000.0,3.0,9
4000.0,4.0,16
4100.0,1.0,8
4100.0,2.0,18
4100.0,3.0,14
4100.0,4.0,11
4200.0,1.0,21
4200.0,2.0,10
4200.0,3.0,7
4200.0,4.0,7
4300.0,1.0,5
4300.0,2.0,21
4300.0,3.0,7
4400.0,1.0,13
4400.0,2.0,10
4400.0,3.0,3
4400.0,4.0,5
4501.0,1.0,37
4501.0,2.0,23
4501.0,3.0,10
4600.0,1.0,3
4600.0,2.0,6
4700.0,1.0,8
4700.0,2.0,15
4800.0,1.0,16
4800.0,2.0,22
4800.0,3.0,41
4900.0,1.0,9
4900.0,2.0,13
4900.0,3.0,14
5000.0,1.0,46
5100.0,1.0,13
5100.0,2.0,26
5200.0,1.0,15
5200.0,2.0,18
5300.0,1.0,23
5300.0,2.0,27
5300.0,3.0,112
5400.0,2.0,3
5400.0,3.0,2
5400.0,4.0,37
5600.0,1.0,21
5600.0,2.0,4
5700.0,1.0,9
5700.0,2.0,2
5800.0,1.0,16
5900.0,1.0,7
5900.0,2.0,10
5900.0,3.0,6
6000.0,1.0,6
6000.0,2.0,5
6000.0,3.0,14
6100.0,1.0,12
6100.0,2.0,3
6500.0,1.0,17
6500.0,2.0,15
6500.0,3.0,10
6600.0,1.0,6
6801.0,1.0,1
6802.0,1.0,5
6802.0,2.0,2
6802.0,3.0,1
6900.0,1.0,7
6900.0,2.0,7
6900.0,3.0,7
7002.0,1.0,9
7002.0,2.0,7
7002.0,3.0,2
7100.0,1.0,20
7100.0,2.0,14
7100.0,3.0,9
7200.0,1.0,4
7200.0,2.0,24
7301.0,1.0,2
7301.0,2.0,11
7301.0,3.0,12
7301.0,4.0,6
7302.0,1.0,3
7302.0,2.0,6
7302.0,3.0,5
7400.0,1.0,3
7400.0,2.0,4
7400.0,3.0,2
7400.0,5.0,13
7400.0,6.0,10
7501.0,1.0,5
7501.0,2.0,14
7501.0,3.0,9
7501.0,4.0,21
7501.0,5.0,12
7502.0,1.0,6
7502.0,2.0,11
7502.0,3.0,10
7600.0,1.0,4
7600.0,2.0,11
7600.0,3.0,17
7600.0,4.0,8
7600.0,5.0,5
7600.0,6.0,10
7600.0,7.0,6
7701.0,1.0,10
7701.0,2.0,11
7701.0,3.0,7
7702.0,1.0,5
7702.0,2.0,7
7702.0,3.0,10
7702.0,4.0,1
7800.0,1.0,21
7800.0,2.0,19
7800.0,3.0,5
7800.0,4.0,13
7800.0,5.0,1
7903.0,2.0,6
7903.0,3.0,14
7903.0,4.0,5
7905.0,1.0,8
7905.0,2.0,16
7907.0,1.0,10
7907.0,2.0,7
7908.0,1.0,12
7908.0,2.0,11
7910.0,1.0,14
7910.0,2.0,9
8002.0,1.0,4
8002.0,2.0,6
8002.0,3.0,6
8003.0,1.0,8
8003.0,2.0,13
8003.0,3.0,4
8006.0,1.0,8
8006.0,2.0,6
8006.0,3.0,8
8006.0,4.0,4
8006.0,5.0,6
8101.0,1.0,1
8101.0,2.0,6
8101.0,3.0,7
8101.0,4.0,5
8101.0,5.0,7
8102.0,1.0,4
8102.0,2.0,3
8102.0,3.0,21
8200.0,1.0,14
8200.0,2.0,9
8200.0,3.0,10
8301.0,1.0,7
8301.0,2.0,8
8301.0,3.0,3
8303.0,1.0,15
8303.0,2.0,16
8303.0,3.0,2
8305.0,2.0,1
8306.0,1.0,4
8306.0,3.0,5
8307.0,1.0,9
8307.0,2.0,5
8307.0,3.0,3
8310.0,1.0,14
8310.0,2.0,7
8310.0,3.0,6
8311.0,1.0,10
8311.0,2.0,19
8312.0,1.0,1
8312.0,2.0,5
8312.0,3.0,9
8312.0,4.0,17
8313.0,1.0,7
8313.0,2.0,4
8324.0,1.0,7
8324.0,2.0,14
8324.0,3.0,1
8324.0,4.0,3
8327.0,1.0,1
8327.0,2.0,4
8327.0,3.0,3
8329.0,2.0,5
8330.0,1.0,6
8330.0,2.0,1
8331.0,1.0,3
8333.0,1.0,6
8333.0,2.0,6
8335.0,1.0,1
8335.0,2.0,1
8335.0,3.0,4
8336.0,2.0,1
8337.0,1.0,6
8337.0,2.0,1
8337.0,3.0,2
8339.0,1.0,10
8340.0,1.0,1
8340.0,3.0,1
8340.0,4.0,2
8341.0,1.0,3
8341.0,2.0,4
8343.0,2.0,2
8344.0,1.0,3
8344.0,2.0,5
8345.0,1.0,1
8345.0,2.0,1
8345.0,3.0,2
8346.0,1.0,4
8346.0,2.0,2
8347.0,1.0,2
8347.0,2.0,4
8347.0,3.0,3
8347.0,4.0,4
8348.0,1.0,8
8348.0,2.0,3
8349.0,1.0,3
8349.0,2.0,7
8350.0,1.0,38
8350.0,2.0,1
8350.0,4.0,3
8351.0,1.0,3
8351.0,4.0,7
8352.0,1.0,2
8352.0,3.0,3
8353.0,1.0,3
8353.0,2.0,8
8353.0,3.0,2
8354.0,1.0,1
8355.0,1.0,3
8355.0,2.0,4
8356.0,1.0,1
8356.0,2.0,1
8357.0,1.0,4
8357.0,3.0,1
8358.0,1.0,1
8358.0,3.0,3
8358.0,4.0,2
8359.0,1.0,1
8360.0,1.0,1
8360.0,2.0,2
8360.0,3.0,4
8361.0,1.0,7
8362.0,1.0,1
8363.0,2.0,1
8363.0,3.0,1
8364.0,1.0,2
8364.0,2.0,3
8365.0,1.0,4
8365.0,2.0,4
8366.0,1.0,3
8501.0,1.0,7
8501.0,2.0,3
8501.0,3.0,4
8501.0,4.0,6
8502.0,1.0,10
8502.0,2.0,3
8502.0,3.0,10
8502.0,4.0,7
8502.0,5.0,11
8503.0,1.0,10
8503.0,2.0,14
8503.0,3.0,22
8503.0,4.0,12
8504.0,1.0,1
8504.0,2.0,4
8504.0,3.0,15
8504.0,4.0,7
8504.0,5.0,9
8505.0,1.0,5
8505.0,2.0,3
8505.0,3.0,5
8505.0,4.0,6
8505.0,5.0,2
8506.0,1.0,1
8506.0,2.0,5
8506.0,3.0,14
8507.0,1.0,4
8507.0,2.0,2
8507.0,3.0,3
8507.0,4.0,2
8507.0,5.0,7
8507.0,6.0,5
8509.0,1.0,5
8509.0,2.0,6
8509.0,3.0,1
8509.0,4.0,1
8509.0,5.0,5
8510.0,1.0,5
8510.0,2.0,6
8510.0,3.0,2
8510.0,4.0,4
8511.0,1.0,54
8512.0,2.0,4
8512.0,3.0,10
8513.0,1.0,1
8513.0,2.0,6
8600.0,1.0,6
8600.0,2.0,8
8600.0,3.0,2
8600.0,4.0,4
8701.0,1.0,2
8702.0,1.0,3
8702.0,2.0,4
8702.0,3.0,2
8800.0,1.0,15
8800.0,2.0,2
8800.0,3.0,6
8800.0,4.0,1
8901.0,1.0,6
8901.0,2.0,1
8901.0,3.0,5
8901.0,4.0,2
8902.0,1.0,7
8902.0,2.0,1
9000.0,1.0,14
9000.0,2.0,1
9101.0,1.0,2
9101.0,2.0,19
9101.0,3.0,12
9101.0,4.0,20
9102.0,1.0,1
9102.0,2.0,4
9103.0,1.0,4
9103.0,2.0,4
9103.0,3.0,4
9103.0,4.0,10
9104.0,1.0,10
9104.0,2.0,11
9106.0,1.0,17
9106.0,2.0,2
9106.0,3.0,7
9107.0,1.0,6
9107.0,2.0,2
9201.0,1.0,4
9201.0,3.0,4
9202.0,1.0,8
9202.0,2.0,13
9301.0,1.0,4
9301.0,2.0,5
9304.0,1.0,6
9304.0,2.0,7
9305.0,1.0,1
9305.0,2.0,4
9305.0,3.0,6
9306.0,1.0,7
9306.0,2.0,3
9306.0,3.0,4
9306.0,4.0,2
9400.0,1.0,1
9502.0,1.0,4
9504.0,1.0,4
9505.0,1.0,3
9505.0,3.0,1
9505.0,4.0,3
9506.0,1.0,6
9506.0,2.0,1
9507.0,1.0,5
9507.0,3.0,1
9509.0,1.0,3
9509.0,2.0,2
9602.0,1.0,6
9602.0,2.0,7
9602.0,3.0,5
9603.0,2.0,2
9603.0,4.0,8
9604.0,1.0,6
9604.0,2.0,6
9604.0,3.0,1
9604.0,4.0,8
9703.0,1.0,6
9703.0,2.0,2
9703.0,3.0,3
9704.0,1.0,2
9704.0,3.0,1
9704.0,4.0,2
9704.0,5.0,2
9705.0,1.0,1
9705.0,2.0,1
9705.0,3.0,5
9706.0,1.0,2
9706.0,2.0,7
9706.0,3.0,4
9706.0,4.0,2
9706.0,5.0,3
9706.0,6.0,2
9706.0,7.0,4
9801.0,1.0,3
9801.0,2.0,2
9801.0,3.0,5
9802.0,1.0,6
9802.0,2.0,4
9802.0,3.0,2
9802.0,4.0,4
9802.0,5.0,3
9804.0,1.0,6
9804.0,2.0,1
9804.0,3.0,1
9804.0,4.0,5
9805.0,1.0,3
9805.0,2.0,2
9805.0,3.0,1
9902.0,1.0,3
10001.0,1.0,7
10001.0,2.0,7
10003.0,1.0,7
10003.0,2.0,9
10003.0,3.0,1
10003.0,4.0,4
10004.0,1.0,13
10004.0,2.0,9
10005.0,1.0,9
10005.0,2.0,6
10005.0,3.0,12
10005.0,4.0,1
10009.0,1.0,7
10009.0,2.0,16
10009.0,3.0,1
10010.0,2.0,4
10010.0,3.0,3
10011.0,1.0,4
10011.0,2.0,4
10012.0,1.0,1
10012.0,2.0,6
10012.0,3.0,1
10013.0,1.0,29
10013.0,2.0,21
10014.0,1.0,3
10014.0,2.0,9
10015.0,1.0,46
10103.0,1.0,3
10103.0,2.0,15
10103.0,3.0,6
10104.0,1.0,6
10104.0,2.0,5
10106.0,1.0,72
10106.0,2.0,3
10106.0,3.0,6
10107.0,1.0,13
10107.0,2.0,6
10107.0,4.0,3
10109.0,1.0,8
10109.0,2.0,2
10110.0,1.0,4
10110.0,2.0,2
10110.0,3.0,1
10110.0,5.0,4
10111.0,1.0,5
10111.0,2.0,2
10112.0,1.0,1
13205.0,1.0,2
14102.0,1.0,13
14102.0,2.0,7
17006.0,1.0,2
17014.0,1.0,1
17015.0,1.0,5
17015.0,2.0,2
17015.0,3.0,7
17015.0,4.0,1
17018.0,1.0,1
17018.0,2.0,1
17019.0,2.0,4
17019.0,3.0,10
17022.0,1.0,2
17022.0,3.0,1
17022.0,5.0,2
17022.0,6.0,2
17029.0,1.0,5
17029.0,2.0,1
17030.0,1.0,2
17030.0,2.0,1
17030.0,3.0,1
17030.0,4.0,1
17031.0,3.0,4
17032.0,1.0,6
17032.0,2.0,2
17033.0,1.0,2
17033.0,2.0,4
17033.0,3.0,4
17034.0,1.0,6
17034.0,2.0,2
17034.0,3.0,4
17035.0,1.0,3
17035.0,2.0,1
17036.0,2.0,1
17036.0,3.0,3
17037.0,1.0,1
17037.0,3.0,4
17037.0,4.0,3
17039.0,1.0,2
17039.0,2.0,5
17039.0,3.0,1
17042.0,1.0,2
17042.0,3.0,2
17043.0,1.0,4
17043.0,2.0,1
17044.0,1.0,1
17044.0,2.0,3
17045.0,1.0,1
17046.0,1.0,1
17046.0,2.0,1
17047.0,1.0,1
17051.0,3.0,2
17052.0,2.0,2
17052.0,3.0,1
17055.0,2.0,1
17055.0,3.0,4
20710.0,1.0,3
21400.0,1.0,15
21400.0,2.0,5
21400.0,3.0,11
21500.0,1.0,10
21500.0,2.0,2
21500.0,3.0,1
