Case Number,Problem Category,Geolocation (Latitude),Geolocation (Longitude),Opened Date,Subject,Status,Public Description,SAP URL,Closed Date,Age (Days),block_group,tract,geoid,dump_count,Id,Id2,Estimate; Median age -- - Total:,Estimate; Median age -- - Male,Estimate; Median age -- - Female,Estimate; Total,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more",Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Estimate; Total: - With public assistance income,Estimate; Total: - No public assistance income,Estimate; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars),Estimate; Total: - Owner occupied,Estimate; Total: - Renter occupied,Estimate; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 or more",Estimate; No cash rent,Estimate; Median value (dollars)
101502,Litter/Dumping,32.7077658,-117.1281408,8/24/16,"Litter/Dumping Open Space/Canyon/Park at 3078 L Street, San Diego, CA, United States",Closed - Referred,"Couch, 4 chairs, mattress, carpet padding. this is a on going problem",https://getitdone.force.com//TSWViewReportDetail?Id=500t000000340NnAAI,,6,2.0,4000.0,60730040002.0,1,1500000US060730040002,60730040002.0,32.5,32.3,34.4,1001.0,347.0,64.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.0,50.0,15.0,19.0,56.0,13.0,0.0,12.0,0.0,0.0,24.0,42.0,0.0,0.0,0.0,12.0,0.0,22180,41.0,202.0,10646,66.0,177.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,16.0,0.0,0.0,30.0,46.0,17.0,11.0,3.0,27.0,0.0,0.0,373700
101520,Litter/Dumping,32.77605567,-117.100004,8/24/16,"Litter/Dumping Open Space/Canyon/Park at 4229-4357 Camino del Rio S, San Diego, CA 92108, USA",Closed - Referred,"I keep seeing strange and suspicious vehicles every day on this spot just a few yards away from the Penske Auto Truck Rental. Is there something illegal going on here like a Homeless Camp or Illegal Dumping going on? This is a wide open-area so anything could be going on here. Please investigate. (Nearest address 4285 Camino del Rio S, San Diego, CA 92108)",https://getitdone.force.com//TSWViewReportDetail?Id=500t000000340mdAAA,,6,2.0,2001.0,60730020012.0,1,1500000US060730020012,60730020012.0,45.6,47.6,43.9,1335.0,1307.0,1219.0,39.0,0.0,24.0,0.0,0.0,25.0,13.0,12.0,28.0,0.0,0.0,17.0,9.0,17.0,20.0,18.0,11.0,37.0,9.0,16.0,91.0,95.0,73.0,115.0,140.0,123500,7.0,661.0,70926,466.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,11.0,0.0,39.0,9.0,105.0,11.0,700400
101576,Litter/Dumping,32.68899358,-117.0584723,8/24/16,"Litter/Dumping Open Space/Canyon/Park at 6365-6399 Paradise Valley Rd, San Diego, CA 92139, USA",Closed - Referred,"On the South Side of Paradise Valley Road near the intersection with Jester St. Stuff in trash bags, rolling suitcases, and shopping carts. I suspect possessions of folk camping in the canyon.",https://getitdone.force.com//TSWViewReportDetail?Id=500t000000341KGAAY,,6,3.0,3201.0,60730032013.0,1,1500000US060730032013,60730032013.0,22.9,21.3,24.0,2230.0,1854.0,722.0,498.0,0.0,344.0,55.0,0.0,235.0,0.0,235.0,376.0,64.0,0.0,15.0,51.0,40.0,8.0,28.0,92.0,34.0,145.0,84.0,86.0,24.0,13.0,0.0,0.0,50352,18.0,666.0,15694,0.0,684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,465.0,160.0,0.0,-
101616,Litter/Dumping,32.74148494,-117.2552875,8/25/16,"Litter/Dumping Open Space/Canyon/Park at 1600-1646 Ocean Front St, San Diego, CA 92107, USA",Closed - Referred,"There is a homeless camp on the cliffs at the end of Del Mar Ave. in Ocean Beach. Lots of trash, tent-like structure, pillows, clothing, and human feces. Saw a man this morning emerge from the cliff shoveling the cliff. It appears he has been making steps to make his descent into his camp easier. Wasn't sure how to answer hazardous materials question. There is visible human feces so I answered yes.",https://getitdone.force.com//TSWViewReportDetail?Id=500t000000343fQAAQ,,5,2.0,7301.0,60730073012.0,1,1500000US060730073012,60730073012.0,34.5,39.9,33.0,1423.0,1287.0,1259.0,0.0,0.0,0.0,0.0,12.0,16.0,0.0,16.0,136.0,34.0,22.0,8.0,30.0,0.0,30.0,24.0,36.0,14.0,143.0,160.0,216.0,151.0,29.0,13.0,0.0,70956,0.0,910.0,45930,74.0,836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,252.0,274.0,193.0,17.0,29.0,784900
101648,Litter/Dumping,32.741121,-117.157243,8/25/16,"Litter/Dumping Open Space/Canyon/Park at Bridle Trail San Diego, CA 92103",Closed - Referred,Litter everywhere where homeless camps.  Balboa park. Trail going down to pedestrian bridge across 163 and Marston house,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003458sAAA,,5,3.0,300.0,60730003003.0,1,1500000US060730003003,60730003003.0,42.0,41.6,50.7,1330.0,1198.0,1086.0,0.0,0.0,26.0,2.0,0.0,84.0,0.0,84.0,132.0,40.0,98.0,0.0,30.0,47.0,20.0,18.0,0.0,16.0,75.0,12.0,92.0,137.0,64.0,52.0,92.0,95553,0.0,793.0,60684,316.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,13.0,12.0,292.0,0.0,90.0,38.0,15.0,573900
101727,Litter/Dumping,32.68863146,-117.0569777,8/25/16,"Litter/Dumping Open Space/Canyon/Park at 6433-6467 Paradise Valley Rd, San Diego, CA 92139, USA",Closed - Referred,There are trash everywhere along side of the road. Looks like there is also an illegal camp of homeless in the area.,https://getitdone.force.com//TSWViewReportDetail?Id=500t000000347CDAAY,,5,2.0,3201.0,60730032012.0,1,1500000US060730032012,60730032012.0,39.0,38.2,41.3,1717.0,951.0,265.0,151.0,0.0,417.0,5.0,64.0,49.0,0.0,49.0,766.0,22.0,9.0,25.0,11.0,9.0,9.0,0.0,61.0,61.0,41.0,70.0,78.0,14.0,12.0,24.0,0.0,51481,14.0,432.0,17368,190.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,25.0,0.0,5.0,99.0,79.0,28.0,0.0,11.0,243900
101841,Litter/Dumping,32.749877,-117.154939,8/26/16,"Litter/Dumping Open Space/Canyon/Park at Esteban Bahena Memorial Highway & Cabrillo Freeway & Washington Street San Diego, CA 92103",Closed - Referred,"Homeless camp active within state highway fencing nb163 behind Ralphs.  Trash, tents, garbage strewn down the hill, drug dealing prostitution etc.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000034BMFAA2,,4,3.0,600.0,60730006003.0,1,1500000US060730006003,60730006003.0,46.4,43.1,55.9,1158.0,937.0,747.0,83.0,0.0,61.0,12.0,0.0,34.0,0.0,34.0,221.0,34.0,64.0,40.0,73.0,22.0,12.0,7.0,52.0,0.0,53.0,78.0,80.0,106.0,50.0,29.0,33.0,60880,8.0,725.0,46814,262.0,471.0,0.0,0.0,0.0,0.0,41.0,8.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,7.0,6.0,23.0,14.0,170.0,71.0,68.0,33.0,0.0,411400
101846,Litter/Dumping,32.68897458,-117.0585227,8/26/16,"Litter/Dumping Open Space/Canyon/Park at 6365-6399 Paradise Valley Rd, San Diego, CA 92139, USA",Closed - Referred,There is a trash along the edge of the canyon. More and more trash appear everyday.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000034BfHAAU,,4,3.0,3201.0,60730032013.0,1,1500000US060730032013,60730032013.0,22.9,21.3,24.0,2230.0,1854.0,722.0,498.0,0.0,344.0,55.0,0.0,235.0,0.0,235.0,376.0,64.0,0.0,15.0,51.0,40.0,8.0,28.0,92.0,34.0,145.0,84.0,86.0,24.0,13.0,0.0,0.0,50352,18.0,666.0,15694,0.0,684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,465.0,160.0,0.0,-
101879,Litter/Dumping,32.83047,-117.179899,8/26/16,"Litter/Dumping Open Space/Canyon/Park at 4744 Andalusia Avenue, San Diego, CA, United States",Closed - Referred,"There is a freezer, lawn mowers. bed frame, vacuum cleaners, dressers and entertainment centers in the front yard looks like a junk yard. tenent has put salvation army signs on the junk. the salvation army truck came and wouldn't take  the items.",https://getitdone.force.com//TSWViewReportDetail?Id=500t00000034D6sAAE,,4,3.0,8506.0,60730085063.0,1,1500000US060730085063,60730085063.0,42.7,43.1,41.8,1602.0,1416.0,1313.0,8.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,186.0,16.0,9.0,8.0,0.0,0.0,15.0,0.0,37.0,17.0,28.0,49.0,145.0,81.0,36.0,71.0,34.0,90833,7.0,539.0,35958,352.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,20.0,130.0,12.0,0.0,419600
101918,Litter/Dumping,32.72700711,-117.1239303,8/26/16,Litter/Dumping Open Space/Canyon/Park at 3200?3298 Marlton Dr,Closed - Referred,Tire and other items on the slope of the canyon north of Marlton.,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000034E4sAAE,,4,4.0,4200.0,60730042004.0,1,1500000US060730042004,60730042004.0,38.5,32.9,42.6,813.0,652.0,626.0,15.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,161.0,0.0,15.0,6.0,19.0,0.0,73.0,32.0,0.0,9.0,11.0,8.0,31.0,43.0,0.0,27.0,53.0,52159,9.0,318.0,42934,233.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,12.0,0.0,541300
