Case Number,Problem Category,Geolocation (Latitude),Geolocation (Longitude),Opened Date,Subject,Status,Public Description,SAP URL,Closed Date,Age (Days),tract,geoid,block_group
96555,Graffiti,32.69556913,-117.1060231,7/29/16,"Graffiti Removal at 4102 NATIONAL AV, 92113",Closed,Request graffiti removed from fence,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufQBAAY,8/4/16,5,003602,060730036021,1
96577,Graffiti,32.744808,-117.111836,7/29/16,"Graffiti  at 3601-3699 38th Street San Diego, CA 92105",Closed,Gang grafitti 3' long,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufbnAAA,8/9/16,10,002401,060730024011,1
96578,Graffiti,32.744719,-117.111776,7/29/16,"Graffiti  at 3601-3699 38th Street San Diego, CA 92105",Closed,Grafitti,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufbsAAA,8/9/16,10,002401,060730024011,1
96581,Graffiti,32.71722547,-117.1665722,7/29/16,Graffiti  at 32.72N 117.17W,Closed,Elevator 3,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufg9AAA,8/9/16,10,005400,060730054002,2
96594,Graffiti,32.73929654,-117.133569,7/29/16,"Graffiti  at 3303 28th St, San Diego, CA 92104, USA",Closed,"on the northeast corner of Thorn and 28th.  it is on the ground on the sidewalk and the yellow bump area at the corner where the wheelchairs and bikes can roll off the sidewalk, over the bumps, and into the street.  Most of the grafitti is on the yellow bumps, a little on the cement sidewalk.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufqdAAA,8/6/16,7,004300,060730043001,1
96597,Graffiti,32.798676,-117.2195,7/29/16,"Graffiti  at Rose Creek Trail San Diego, CA 92109",Assigned,Gang? tags on stop sign,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufrbAAA,,32,007600,060730076001,1
96602,Graffiti,32.802807,-117.222166,7/29/16,"Graffiti  at 2605 Rose Creek Trail San Diego, CA 92109",Closed,Gang tags on utility box,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufsoAAA,8/6/16,7,007800,060730078001,1
96615,Graffiti,32.712362,-117.037586,7/29/16,"Graffiti  at 7510-7548 Jamacha Road San Diego, CA 92114",Closed,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufvnAAA,8/9/16,10,014102,060730141021,1
96617,Graffiti,32.72421779,-117.12346,7/29/16,Graffiti  at 1727 33rd St,Closed,Lomas 26th St gang graffiti on Eucalyptus north of 1727 33rd in the canyon.  Graffiti is also on the log that crosses the creek bed.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufwMAAQ,8/9/16,10,004200,060730042004,4
96618,Graffiti,32.712035,-117.040335,7/29/16,Graffiti  at N32.71 E117.04,Assigned,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufx0AAA,,32,003103,060730031031,1
96628,Graffiti,32.7466694,-117.2486031,7/29/16,"Graffiti  at 4900 Santa Monica Avenue, San Diego, CA 92107, United States",Assigned,grafitti on CVS/Appletree mural/ historic landmark,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufycAAA,,32,007502,060730075023,3
96635,Graffiti,32.76822362,-117.1625415,7/29/16,Graffiti  at 6967 Friars Rd,Assigned,Graffiti and possible encampments under 163.  Access from parking lot east of Avenida Del Rio and parking structure E.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ug0dAAA,,32,008902,060730089022,2
96653,Graffiti,32.81716866,-117.1757402,7/30/16,Graffiti  at 4002 Mount Abraham Ave,Assigned,Gang tagging on residential fence.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ug9LAAQ,,31,008509,060730085095,5
96671,Graffiti,32.7573164,-117.1108403,7/30/16,"Graffiti  at 3828 Meade Avenue, San Diego, CA, United States",Closed,Graffiti on sidewalk north side of Meade,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugDSAAY,8/6/16,7,002100,060730021004,4
96672,Graffiti,32.75721264,-117.1119454,7/30/16,"Graffiti  at 3774 Meade Ave, San Diego, CA 92116, USA",Closed,Graffiti on utility box on north side of Meade in right of way near alley,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugDcAAI,8/6/16,7,002100,060730021004,4
96689,Graffiti,32.56912862,-117.0686712,7/30/16,"Graffiti Removal at 2950 IRIS AV, 92154",Closed,GRAFFITI REMOVAL ON BLOCK WALL BY BUS TOP.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugJBAAY,8/11/16,11,010106,060730101061,1
96690,Graffiti,32.56912862,-117.0686712,7/30/16,"Graffiti Removal at 2950 IRIS AV, 92154",Closed,GRAFFITI ON SIDEWALK ACROSS FROM THIS ADDRESS.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugJVAAY,8/9/16,9,010106,060730101061,1
96691,Graffiti,32.56757777,-117.0720779,7/30/16,"Graffiti Removal at VILLAGE PINE DR & MONTEREY PINE DR,, 92173",Closed,GRAFFITI REMOVAL ON SIDEWALKS,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugJaAAI,8/9/16,9,010106,060730101063,3
96710,Graffiti,32.7564032,-117.1118199,7/30/16,"Graffiti  at 4356 38th Street, San Diego, CA, United States",Closed,graffiti on north end of sidewalk in front of 4356 38th St,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugOpAAI,8/9/16,9,002100,060730021004,4
96711,Graffiti,32.722547,-117.083818,7/30/16,Graffiti  at N32.72 E117.08,Assigned,Sticker at top left of back too,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugP9AAI,,31,002712,060730027123,3
96719,Graffiti,32.752555,-117.134119,7/30/16,"Graffiti  at 4116-4180 Idaho Street San Diego, CA 92104",Closed,Graffiti on play equipment,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugQCAAY,8/30/16,30,001300,060730013003,3
96724,Graffiti,32.72786505,-117.1484901,7/30/16,Graffiti  at 1649 El Prado,Closed,blue graffiti on stairs,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugShAAI,8/25/16,25,005600,060730056002,2
96725,Graffiti,32.72786505,-117.1485028,7/30/16,Graffiti  at 1649 El Prado,Closed,La Raza center,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugSmAAI,8/25/16,25,005600,060730056002,2
96728,Graffiti,32.7356295,-117.1639876,7/30/16,"Graffiti  at 2900 1st Ave, San Diego, CA 92103, United States",Closed,"I don't have an exact address, as it is on the north east side of the historic 1st Ave. Bridge. Large graffiti on the end bridge column. Green spray paint. It appeared overnight.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugUJAAY,8/6/16,6,006000,060730060003,3
96743,Graffiti,32.557536,-117.067213,7/31/16,"Graffiti  at 3098 Brando Drive San Diego, CA 92154",Closed,Graffiti on Stop Sign,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugbFAAQ,8/9/16,9,010109,060730101091,1
96745,Graffiti,32.556864,-117.067177,7/31/16,"Graffiti  at 2201-2259 Servando Avenue San Diego, CA 92154",Closed,Graffiti on Yellow Left Arrows around curb. White fence posts have graffiti too,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugbPAAQ,8/9/16,9,010109,060730101091,1
96750,Graffiti,32.91301756,-117.1228009,7/31/16,Graffiti  at 10771 Black Mountain Rd,Acknowledged,Graffiti on the wall. On Hillery Drive between Black Mountain Rd and Westview Parkway.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugfvAAA,,30,008359,060730083591,1
96759,Graffiti,32.81793312,-117.0469595,7/31/16,Graffiti  at 7899 Golfcrest Dr,Closed - Referred,Golfcrest at mission gorge,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugiLAAQ,,30,009805,060730098052,2
96763,Graffiti,32.80474592,-117.0374371,7/31/16,Graffiti  at 7027?7067 Golfcrest Dr,Acknowledged,Cow less mountain parking lot drinking fountain and building,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugj9AAA,,30,009805,060730098052,2
96767,Graffiti,32.806558,-117.236183,7/31/16,"Graffiti  at 1939 Law Street San Diego, CA 92109",Closed,Graffiti on street,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugjYAAQ,8/9/16,9,008002,060730080023,3
96768,Graffiti,32.80327397,-117.0253206,7/31/16,Graffiti  at 7900?7924 Navajo Rd,Closed,Navajos cowless mountain blv,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugjdAAA,8/9/16,9,009804,060730098042,2
96770,Graffiti,32.73105167,-117.1207908,7/31/16,Graffiti  at 2419 34th St,Closed,"Nearly ALL signs at bottom of the Juniper Street ""dip"" have gang tags on them. North and South side signs, west of Commonwealth.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugjsAAA,8/12/16,12,004200,060730042002,2
96771,Graffiti,32.80326814,-117.0098019,7/31/16,Graffiti  at 8815 Lake Murray Blvd,Closed - Referred,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugk2AAA,,30,009804,060730098041,1
96786,Graffiti,32.72805925,-117.1295943,7/31/16,Graffiti  at 2101 Fern St,Closed - Referred,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugmDAAQ,,30,004400,060730044002,2
96789,Graffiti,32.72797897,-117.1297061,7/31/16,Graffiti  at 2114 Fern St,Closed - Referred,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugmwAAA,,30,004400,060730044002,2
96792,Graffiti,32.72333759,-117.1291478,7/31/16,Graffiti  at 1645 Fern St,Closed - Referred,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ugnLAAQ,,30,004400,060730044001,1
