Case Number,Parent Case Number,Status,Mobile/Web Status,Duplicate Verified,Override Duplicate,Functional Location,Question #1,Answer #1,Answer #1 Options,Question #2,Answer #2,Answer #2 Options,Question #3,Answer #3,Question #4,Answer #4,Referral Email List,Referred Email List,Contact Email Internal Referral,Display Referral Information,Referred Email Update,Priority,Case Origin,Case Reason,Date/Time Opened,Opened Date,Case Date/Time Last Modified,Case Last Modified Date,Date/Time Closed,Closed Date,Age (Days),Open,Closed,Subject,Public Description,Problem Group,Problem Category,Problem Category Detail,Problem Description,Geolocation Lat Long,Geolocation (Latitude),Geolocation (Longitude),SAP Notification Number,SAP Problem Category,SAP Problem Code,SAP Problem Type,SAP Reference Document,SAP Source List,SAP System Status,SAP User Status,Short Description,SLA,SAP URL,Case Record Type,block,tract,geoid,blockgroup
97243,95466.0,Closed,Closed,1.0,0.0,SS-019029,Offensive?,No,,Where is it located?,Commercial Property,,,,,,,,,,,Medium,Web,Problem resolved,8/2/2016 11:25,8/2/2016,8/18/2016 7:37,8/18/2016,8/18/2016 7:37,8/18/2016,16.0,0.0,1.0,"Graffiti  at 1405 Morena Blvd, San Diego, CA, United States",Graffiti is on rear of building at 1405 Morena Blvd,Other,Graffiti,,,32.7736192-117.2037663,32.7736192,-117.2037663,1.50001E+11,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,1.50001E+11,N,NOCO,CMPL CANC,"1405 Morena Blvd, San Diego...Graffit...",,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ura8AAA,Street Division Closed Case,1060,009106,060730091061060,1
91409,0.0,Closed - Referred,Referred,0.0,0.0,SS-019532,Offensive?,No,,Where is it located?,Other,,,,,,Caltrans San Diego,,ct.public.information.d11@dot.ca.gov,,ct.public.information.d11@dot.ca.gov,Medium,Mobile,Problem resolved,7/3/2016 17:24,7/3/2016,7/3/2016 20:32,7/3/2016,,,71.0,1.0,0.0,"Graffiti  at 2358 Murray Ridge Rd San Diego, CA 92123",Graffiti on I805 northbound bridge above Mission Center Rd.  Visable going west on Mission Center from Murray Ridge Rd.,Other,Graffiti,,,32.788281-117.145178,32.788281,-117.145178,,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,,,,Graffiti Removal,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003AgNaAAK,Street Division Closed Case,1006,009202,060730092021006,1
97241,0.0,Closed,Closed,0.0,1.0,SS-028486,Offensive?,No,,Where is it located?,Commercial Property,,,,,,,,,,,Medium,Web,Problem resolved,8/2/2016 11:22,8/2/2016,8/18/2016 7:37,8/18/2016,8/18/2016 7:37,8/18/2016,16.0,0.0,1.0,"Graffiti  at 1500 W Morena Blvd, San Diego, CA, United States","Graffiti is all over fence, building and green utility box on 1500 block of W Morena Blvd",Other,Graffiti,,,32.7731053-117.2061418,32.7731053,-117.2061418,1.50001E+11,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,1.50001E+11,N,NOCO,CMPL,"1500 W Morena Blvd, San Die...Graffit...",,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001urWkAAI,Street Division Closed Case,1003,009106,060730091061003,1
91023,0.0,Closed - Referred,Referred,0.0,0.0,,Offensive?,No,,Where is it located?,Other,,,,,,Caltrans San Diego,,ct.public.information.d11@dot.ca.gov,,ct.public.information.d11@dot.ca.gov,Medium,Mobile,Problem resolved,6/30/2016 19:22,6/30/2016,7/1/2016 4:03,7/1/2016,,,74.0,1.0,0.0,"Graffiti  at Mission Valley Fwy San Diego, CA 92108",Refer to Caltrans for I-8W wall facing Sefton Fields,Other,Graffiti,,,32.760555-117.191666,32.760555,-117.191666,,TRAFFIC - Traffic Control,5303.0,Graffiti Removal - Commercial,,,,,Graffiti Removal,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003AajLAAS,Street Division Closed Case,1011,008902,060730089021011,1
90990,0.0,Closed - Referred,Referred,0.0,0.0,SS-028466,Offensive?,No,,Where is it located?,Other,,,,,,Caltrans San Diego,,ct.public.information.d11@dot.ca.gov,,ct.public.information.d11@dot.ca.gov,Medium,Mobile,Problem resolved,6/30/2016 16:36,6/30/2016,7/1/2016 3:41,7/1/2016,,,74.0,1.0,0.0,Graffiti  at CA-52 E,On bridge pillar of 52 and west hills parkway,Other,Graffiti,,,32.84005539494831-117.0237499383437,32.84005539,-117.0237499,,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,,,,Graffiti Removal,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003AaYwAAK,Street Division Closed Case,1021,016606,060730166061021,1
97234,90824.0,Closed,Closed,1.0,0.0,SS-014065,Offensive?,Yes,,Where is it located?,Commercial Property,,,,,,,,,,,Medium,Web,Problem resolved,8/2/2016 11:10,8/2/2016,8/10/2016 0:04,8/10/2016,8/10/2016 0:04,8/10/2016,8.0,0.0,1.0,"Graffiti  at 3909 Imperial Avenue, San Diego, CA, United States","On the side of this building (alley) there is graffiti.  ALSO, on the front of this building (which is connected to 3907 Imperial) there are offensive markings!",Other,Graffiti,,,32.7048204-117.1099179,32.7048204,-117.1099179,,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,,,,Graffiti Removal,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001urLcAAI,Street Division Closed Case,1011,003501,060730035011011,1
90758,0.0,Closed - Referred,Referred,0.0,0.0,SS-002309,Offensive?,Yes,,Where is it located?,Street or Sidewalk,,,,,,Caltrans San Diego,,ct.public.information.d11@dot.ca.gov,,ct.public.information.d11@dot.ca.gov,Medium,Mobile,Problem resolved,6/29/2016 14:53,6/29/2016,6/30/2016 3:42,6/30/2016,,,75.0,1.0,0.0,Graffiti  at E/B I-8 On Ramp @ College-LG black Letters,Black letters on freeway on ramp,Other,Graffiti,,,32.77878213211221-117.0664245543229,32.77878213,-117.0664246,,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,,,,Graffiti Removal,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003AUiCAAW,Street Division Closed Case,1001,002904,060730029041001,1
100056,0.0,Closed,Closed,0.0,0.0,SS-028531,Offensive?,Yes,,Where is it located?,Private Residence,,,,,,,,,,,Medium,Web,Problem resolved,8/17/2016 10:55,8/17/2016,9/3/2016 0:03,9/3/2016,9/3/2016 0:02,9/3/2016,17.0,0.0,1.0,"Graffiti  at 4401 West Point Loma Boulevard, San Diego, CA, United States",F-bomb graffiti on back wall of pvt residence.,Other,Graffiti,,,32.75243-117.2308786,32.75243,-117.2308786,1.50001E+11,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,N,NOCO,CMPL,4401 West Point Loma Boulev...Graffit...,,https://getitdone.force.com//TSWViewReportDetail?Id=500t00000033NQiAAM,Street Division Closed Case,1013,006801,060730068011013,1
90608,90565.0,Closed,Closed,0.0,0.0,,Offensive?,No,,Where is it located?,Street or Sidewalk,,,,,,Caltrans San Diego,,ct.public.information.d11@dot.ca.gov,,ct.public.information.d11@dot.ca.gov,Medium,Mobile,Problem resolved,6/28/2016 22:55,6/28/2016,7/7/2016 0:20,7/7/2016,7/7/2016 0:20,7/7/2016,8.0,0.0,1.0,Graffiti  at I-5 S,Graffiti on south side of overpass onramp to 5 north,Other,Graffiti,,,32.81184365765286-117.2200702308606,32.81184366,-117.2200702,,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,,,,Graffiti Removal,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003APvpAAG,Street Division Closed Case,2002,007800,060730078002002,2
90497,0.0,Closed - Referred,Referred,0.0,0.0,,Offensive?,No,,Where is it located?,City Sign,,,,,,Caltrans San Diego,,ct.public.information.d11@dot.ca.gov,,ct.public.information.d11@dot.ca.gov,Medium,Mobile,Problem resolved,6/28/2016 12:05,6/28/2016,6/28/2016 12:14,6/28/2016,,,76.0,1.0,0.0,"Graffiti  at 2036-2078 Palm Ave San Diego, CA 92154","Tagging on ""No Right Turn"" Sign",Other,Graffiti,,,32.583982-117.088732,32.583982,-117.088732,,TRAFFIC - Traffic Control,5301.0,Graffiti Removal,,,,,Graffiti Removal,,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003ANuaAAG,Street Division Closed Case,1061,010103,060730101031061,1
