Age (Days),Case Number,Closed Date,Geolocation (Latitude),Geolocation (Longitude),Opened Date,Problem Category,Public Description,SAP URL,Status,Subject,block_group,count,geoid,tract,lighting_count,Id,Id2,Estimate; Median age -- - Total:,Estimate; Median age -- - Male,Estimate; Median age -- - Female,Estimate; Total,Estimate; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,"Estimate; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more",Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Estimate; Total: - With public assistance income,Estimate; Total: - No public assistance income,Estimate; Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars),Estimate; Total: - Owner occupied,Estimate; Total: - Renter occupied,Estimate; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 or more",Estimate; No cash rent,Estimate; Median value (dollars)
33,96441,,32.711461,-117.167053,7/28/16,Street Light,All 3 street lights out as well as tree lights on Market between State  St and Columbia  St,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uaG6AAI,Assigned,"Street Light Light Out at 467-499 West Market Street San Diego, CA 92101",1.0,1,60730054001.0,5400.0,1,1500000US060730054001,60730054001.0,51.5,46.9,51.9,631.0,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,36.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,42.0,23.0,25.0,0.0,46.0,98.0,112.0,153750,0.0,420.0,184088,240.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,119.0,36.0,664300
33,96442,,32.736961,-117.222571,7/28/16,Street Light,street light has been out for over a week.  No light in entire area and in front of my house.  Live alone and need light for securitry.Previous request submitted,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uaGBAAY,Assigned,"Street Light Light Out at 3230 Whittier Street, San Diego, CA, United States",1.0,1,60730214001.0,21400.0,1,1500000US060730214001,60730214001.0,27.7,24.6,31.1,4154.0,3426.0,2615.0,251.0,37.0,380.0,10.0,0.0,133.0,0.0,133.0,728.0,0.0,56.0,53.0,139.0,48.0,26.0,55.0,134.0,50.0,123.0,115.0,170.0,97.0,78.0,54.0,150.0,59621,2.0,1346.0,36997,616.0,732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,15.0,0.0,56.0,0.0,66.0,22.0,39.0,481.0,6.0,639300
27,96477,8/25/16,32.74879125,-117.0794474,7/29/16,Street Light,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ubchAAA,Closed,"Light Out at 54TH ST & UNIVERSITY AV,, 92105",2.0,1,60730027082.0,2708.0,1,1500000US060730027082,60730027082.0,38.9,43.4,34.8,531.0,99.0,9.0,7.0,0.0,56.0,0.0,0.0,27.0,0.0,27.0,432.0,17.0,9.0,25.0,34.0,24.0,0.0,28.0,24.0,0.0,7.0,0.0,0.0,0.0,10.0,0.0,0.0,25667,0.0,178.0,11486,38.0,140.0,0.0,0.0,0.0,39.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,43.0,17.0,15.0,0.0,9.0,0.0,0.0,280000
28,97255,,32.7499283,-117.1146826,8/2/16,Street Light,Street light is out and has been vandalized,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001us6FAAQ,Assigned,"Street Light Light Out at 3636 University Avenue, San Diego, CA, United States",2.0,1,60730022012.0,2201.0,1,1500000US060730022012,60730022012.0,26.9,27.2,26.4,1901.0,518.0,147.0,123.0,0.0,170.0,0.0,0.0,78.0,0.0,78.0,1383.0,84.0,70.0,89.0,25.0,80.0,44.0,36.0,23.0,58.0,75.0,34.0,2.0,0.0,0.0,0.0,0.0,27386,19.0,601.0,10329,45.0,575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,33.0,55.0,89.0,207.0,129.0,33.0,4.0,0.0,0.0,410000
13,91611,7/19/16,32.74625747,-117.1324614,7/5/16,Street Light,"There is a street light on the roof of the house on the back of the house near the garage that is out. The North East corner of the house.It is a city light, the light needs to be replaced.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003AlO9AAK,Closed,"Street Light Light Out at 3747 Utah Street, San Diego, CA, United States",1.0,1,60730014001.0,1400.0,1,1500000US060730014001,60730014001.0,31.6,36.0,28.7,593.0,405.0,385.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,188.0,9.0,23.0,16.0,0.0,9.0,21.0,23.0,4.0,24.0,0.0,9.0,60.0,21.0,17.0,9.0,10.0,47344,0.0,255.0,32867,68.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,66.0,4.0,51.0,0.0,7.0,50.0,0.0,605900
56,91624,,32.70746126,-117.1295484,7/5/16,Street Light,Light out,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003Ali4AAC,Assigned,"Light Out at 3079 L ST, 92102",4.0,1,60730040004.0,4000.0,1,1500000US060730040004,60730040004.0,27.4,25.3,44.1,753.0,204.0,55.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.0,8.0,33.0,51.0,25.0,17.0,12.0,6.0,0.0,10.0,26.0,35.0,0.0,10.0,0.0,0.0,0.0,22450,28.0,205.0,13261,26.0,207.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,6.0,8.0,33.0,17.0,28.0,6.0,0.0,0.0,18600
56,91656,,32.84121899,-117.2813263,7/5/16,Street Light,Street light is out over the handicap parking area (blue curb),https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003AmUDAA0,Duplicate,"Street Light Light Out at 274-348 Coast Blvd, La Jolla, CA 92037, USA",2.0,1,60730082002.0,8200.0,1,1500000US060730082002,60730082002.0,66.7,71.6,64.5,1116.0,1100.0,875.0,16.0,0.0,200.0,0.0,0.0,9.0,0.0,9.0,16.0,33.0,9.0,35.0,18.0,18.0,38.0,35.0,19.0,19.0,0.0,93.0,26.0,0.0,78.0,130.0,97.0,77188,0.0,648.0,96965,223.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,17.0,57.0,110.0,208.0,26.0,879700
13,91658,7/19/16,32.824943,-117.216266,7/5/16,Street Light,"The NEW street light is out sometimes in the evening and appears to struggle to come on,  the red light on top blinks.  This is an intermittent problem.  I reported it once in Feb and have kept track of the dates I noticed it out.  2-3, 2-17, 2-23, 3-2, 4-2,5-26,  and 7-3.  Sometime in April we noticed the OLD light out and then a few weeks later it was back on. We talked to a SDGE person that said Turko was called.  The OLD lights are now out again, which is fine if the NEW ones worked. I have been taking photos of the light when out as proof, including July 3rd.  This makes a very dark corner.  The first photos show the OLD light on and NEW off, then all off with the red light blinking.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003AmUrAAK,Closed,"Street Light Light Out at 4481 Kamloop Avenue, San Diego, CA, United States",4.0,1,60730085014.0,8501.0,1,1500000US060730085014,60730085014.0,30.8,28.4,34.1,935.0,587.0,521.0,6.0,0.0,20.0,0.0,0.0,40.0,0.0,40.0,348.0,0.0,12.0,14.0,17.0,12.0,0.0,0.0,41.0,18.0,12.0,11.0,53.0,43.0,23.0,18.0,52.0,84706,0.0,326.0,36002,181.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,23.0,88.0,0.0,0.0,441600
13,91671,7/19/16,32.824998,-117.216755,7/5/16,Street Light,The light on the east corner of Jappa and Kamloop was out the night of July 3rd and was working again on the night of July 4th.  It is sporadic most nights it is on and then some nights it does not come on.  Without the light it is very dark on that corner.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003AmauAAC,Closed,"Street Light Light Out at 4506 Kamloop Avenue, San Diego, CA, United States",4.0,1,60730085014.0,8501.0,1,1500000US060730085014,60730085014.0,30.8,28.4,34.1,935.0,587.0,521.0,6.0,0.0,20.0,0.0,0.0,40.0,0.0,40.0,348.0,0.0,12.0,14.0,17.0,12.0,0.0,0.0,41.0,18.0,12.0,11.0,53.0,43.0,23.0,18.0,52.0,84706,0.0,326.0,36002,181.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,23.0,88.0,0.0,0.0,441600
13,91702,7/19/16,32.707757,-117.128553,7/5/16,Street Light,Light is out. Street light closer to 31st street.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000003AmhgAAC,Closed,"Street Light Light Out at 3044 L Street, San Diego, CA, United States",2.0,1,60730040002.0,4000.0,1,1500000US060730040002,60730040002.0,32.5,32.3,34.4,1001.0,347.0,64.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.0,50.0,15.0,19.0,56.0,13.0,0.0,12.0,0.0,0.0,24.0,42.0,0.0,0.0,0.0,12.0,0.0,22180,41.0,202.0,10646,66.0,177.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,16.0,0.0,0.0,30.0,46.0,17.0,11.0,3.0,27.0,0.0,0.0,373700
