Case Number,Problem Category,Geolocation (Latitude),Geolocation (Longitude),Opened Date,Subject,Status,Public Description,SAP URL,Closed Date,Age (Days),count,block_group,tract,geoid
96441,Street Light,32.711461,-117.167053,7/28/16,"Street Light Light Out at 467-499 West Market Street San Diego, CA 92101",Assigned,All 3 street lights out as well as tree lights on Market between State  St and Columbia  St,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uaG6AAI,,33,1,1,005400,060730054001
96442,Street Light,32.736961,-117.222571,7/28/16,"Street Light Light Out at 3230 Whittier Street, San Diego, CA, United States",Assigned,street light has been out for over a week.  No light in entire area and in front of my house.  Live alone and need light for securitry.Previous request submitted,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uaGBAAY,,33,1,1,021400,060730214001
96443,Street Light,32.7519623,-117.2235874,7/28/16,"Street Light Light Out at 2877 Barnard Street, San Diego, CA, United States",Assigned,"The entire street is not lit at 8:45pm at night. Thursday, 7/28/2016.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uaHEAAY,,33,1,2,006802,060730068022
96451,Street Light,32.91356474,-117.1385341,7/28/16,"Light Out at 8575 NEW SALEM ST, 92126",Closed,LIGHTS OUT AT BASKET BALL COURT IN MIRA MESA PARK,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uaMJAAY,8/27/16,29,1,3,008357,060730083573
96456,Street Light,32.7487796,-117.0795412,7/29/16,Street Light Light Out at 54th and university avenue,Duplicate,Lights out on all 4 corners of 54th street and university.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uaT5AAI,,32,1,1,002710,060730027101
96465,Street Light,32.71577007,-117.1539024,7/29/16,Street Light Light On During Day at 1196 Broadway,Assigned,One of the acorn style LED lights is a dayburner. It is at the northwest corner of Broadway & Park Blvd.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ub3IAAQ,,32,1,2,005200,060730052002
96472,Street Light,32.74879125,-117.0794474,7/29/16,"Light Out at 54TH ST & UNIVERSITY AV,, 92105",Duplicate,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ubXNAAY,,32,1,2,002708,060730027082
96474,Street Light,32.74879125,-117.0794474,7/29/16,"Light Out at 54TH ST & UNIVERSITY AV,, 92105",Acknowledged,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ubYkAAI,,32,1,2,002708,060730027082
96475,Street Light,32.74879125,-117.0794474,7/29/16,"Light Out at 54TH ST & UNIVERSITY AV,, 92105",Closed,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ubZTAAY,8/25/16,27,1,2,002708,060730027082
96476,Street Light,32.74879125,-117.0794474,7/29/16,"Light Out at 54TH ST & UNIVERSITY AV,, 92105",Closed,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ubZdAAI,8/25/16,27,1,2,002708,060730027082
96477,Street Light,32.74879125,-117.0794474,7/29/16,"Light Out at 54TH ST & UNIVERSITY AV,, 92105",Closed,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ubchAAA,8/25/16,27,1,2,002708,060730027082
96478,Street Light,32.80185482,-117.1289519,7/29/16,"Light Out at GRAMERCY DR & RUFFIN RD,, 92123",Assigned,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ubeTAAQ,,32,1,4,009301,060730093014
96479,Street Light,32.80185482,-117.1289519,7/29/16,"Light Out at GRAMERCY DR & RUFFIN RD,, 92123",Assigned,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ubesAAA,,32,1,4,009301,060730093014
96486,Street Light,32.7522341,-117.223435,7/29/16,"Street Light Light Out at 2927 Barnard Street, San Diego, CA, United States",Assigned,Street lights not functioning on the 2800/2900 blocks of Barnard. Bob St. and other local street lights also not functioning.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uc1xAAA,,32,1,2,006802,060730068022
96493,Street Light,32.728535,-117.246898,7/29/16,"Street Light Light Out at 1205 Alexandria Drive, San Diego, CA, United States",Duplicate,Urgent need to repair street light that neighborhood heavily relies on for night time safety and neighborhood watch. Increase in car break ins have occurred due to the burned out street lamp. Light pole located at 1205 Alexandria Drive San Diego 92107. Thank you for the work you do.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ucTWAAY,,32,1,2,007200,060730072002
96497,Street Light,32.726356,-117.246432,7/29/16,"Street Light Light Out at 4231 Varona Street, San Diego, CA, United States",Acknowledged,"Several lights are out all around the block including Alexandria St and Savoy St,",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ucaNAAQ,,32,1,1,007200,060730072001
96510,Street Light,32.712928,-117.151653,7/29/16,"Street Light Light Out at 719 14th Street, San Diego, CA, United States",Closed,719 14th and G street. On the corner of G street light out. On the second one is out.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001udFkAAI,8/25/16,27,1,1,005200,060730052001
96514,Street Light,32.7171752,-117.1589797,7/29/16,"Street Light Light On During Day at 1125 Sixth Ave, San Diego, CA",Closed,street light has been running on for months. it is located right in front of Stout Bar on 6th ave in downtown.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001udMRAAY,8/25/16,27,1,1,005300,060730053001
96517,Street Light,32.7156744,-117.1583393,7/29/16,"Street Light Light On During Day at Balanced Fitness and Health, Seventh Avenue, San Diego, CA, United States",Closed,day burner has been running on for months. located on the corner of 7th & C st next to the tree grate. The address given is the closet business to the light post. it is the fist post in the west side of 7th & C st.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001udRCAAY,8/25/16,27,1,2,005300,060730053002
96522,Street Light,32.555113,-117.0469695,7/29/16,"Street Light Light Out at 157 Sellsway Street, San Diego, CA, United States",Duplicate,The street light has been out for weeks. 3 request have been done with regards to this light. Previous refer number 00094802. thank you,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001udhoAAA,,32,1,1,010013,060730100131
96542,Street Light,32.79642015,-117.2561377,7/29/16,"Light Out at 4500 OCEAN BL, 92109",Assigned,Constituent states the light on Crystal Pier are out 3 blocks east of the board walk.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uf3gAAA,,32,1,1,007905,060730079051
96547,Street Light,32.76847691,-117.1074635,7/29/16,"Light Out at 5002 KENSINGTON DR, 92116",Acknowledged,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001uf74AAA,,32,1,1,002001,060730020011
96548,Street Light,32.727967,-117.253062,7/29/16,"Street Light Light Out at 1070 Novara St, San Diego, CA 92107, United States",Assigned,"Somebody painted the lamp black so it no longer illuminates the street. The neighbor next door had her car's windshield smashed in while the street was dark. This light has been reported three times, and it's still black -- no light on the street.Please fix.",https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufFwAAI,,32,1,2,007200,060730072002
96558,Street Light,32.73882553,-117.2231151,7/29/16,"Light Out at 3400 YONGE ST, 92106",Assigned,St light out,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufSMAAY,,32,1,3,006900,060730069003
96559,Street Light,32.73882553,-117.2231151,7/29/16,"Light Out at 3400 YONGE ST, 92106",Assigned,St light out,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufSWAAY,,32,1,3,006900,060730069003
96561,Street Light,32.73882553,-117.2231151,7/29/16,"Light Out at 3400 YONGE ST, 92106",Assigned,St light out,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufSlAAI,,32,1,3,006900,060730069003
96563,Street Light,32.7382251,-117.2236223,7/29/16,"Light Out at 3400 XENOPHON ST, 92106",Assigned,St light out,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufToAAI,,32,1,2,006900,060730069002
96564,Street Light,32.7382251,-117.2236223,7/29/16,"Light Out at 3400 XENOPHON ST, 92106",Duplicate,St light out,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufU8AAI,,32,1,2,006900,060730069002
96565,Street Light,32.7382251,-117.2236223,7/29/16,"Light Out at 3400 XENOPHON ST, 92106",Duplicate,St light out,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufV1AAI,,32,1,2,006900,060730069002
96568,Street Light,32.7427769,-117.166952,7/29/16,"Street Light Light Out at 3571 Curlew Street, San Diego, CA, United States",Assigned,We need street lights on this street as it is dark at night. It's a safety issue.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufXWAAY,,32,1,5,000300,060730003005
96569,Street Light,32.73701313,-117.2246495,7/29/16,"Light Out at 3400 VOLTAIRE ST, 92106",Assigned,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufXgAAI,,32,1,2,006900,060730069002
96570,Street Light,32.73701313,-117.2246495,7/29/16,"Light Out at 3400 VOLTAIRE ST, 92106",Duplicate,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufXvAAI,,32,1,2,006900,060730069002
96571,Street Light,32.73701313,-117.2246495,7/29/16,"Light Out at 3400 VOLTAIRE ST, 92106",Acknowledged,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufYPAAY,,32,1,2,006900,060730069002
96572,Street Light,32.73641821,-117.2251535,7/29/16,"Light Out at 3400 UDALL ST, 92106",Assigned,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufYyAAI,,32,1,2,006900,060730069002
96573,Street Light,32.73641821,-117.2251535,7/29/16,"Light Out at 3400 UDALL ST, 92106",Duplicate,ST LIGHT OUT,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufZDAAY,,32,1,2,006900,060730069002
96592,Street Light,32.736236,-117.222918,7/29/16,"Street Light Light Out at 3217 Edith Lane, San Diego, CA, United States",Duplicate,PLEASE help us! Our little street is all dark now that our street light is out.,https://getitdone.force.com//TSWViewReportDetail?Id=500t0000001ufowAAA,,32,1,1,021400,060730214001
