incident_num,date_time,day,stno,stdir1,street,streettype,stdir2,stname2,sttype2,call_type,disposition,beat,priority,lat,lon,tract,blockgroup,block ,block
P16010000007,2016-01-01 00:01:21,6,1000,,GARNET,AV,,,,1016,A,122.0,2.0,32.79741,-117.25169,7905.0,2.0,,2035.0
P16010000013,2016-01-01 00:02:56,6,2000,,IRVING,AV,,,,CW,CAN,512.0,1.0,32.702667,-117.14014,4900.0,3.0,,3029.0
P16010000021,2016-01-01 00:04:48,6,1000,,GARNET,AV,,,,1016,A,122.0,2.0,32.79741,-117.25169,7905.0,2.0,,2035.0
P16010000036,2016-01-01 00:08:20,6,400,,6TH,AV,,,,1016,A,523.0,2.0,32.70947,-117.1592,5400.0,4.0,,4013.0
P16010000043,2016-01-01 00:09:55,6,400,,6TH,AV,,,,FD,A,523.0,2.0,32.70947,-117.1592,5400.0,4.0,,4013.0
P16010000044,2016-01-01 00:10:00,6,800,,THOMAS,AV,,,,1016,A,122.0,2.0,32.793694,-117.25454,7910.0,1.0,,1015.0
P16010000049,2016-01-01 00:10:44,6,10800,,HASBROOK,RD,,,,CW,A,246.0,1.0,32.92996,-117.09599,17044.0,2.0,,2002.0
P16010000051,2016-01-01 00:11:15,6,3500,,INDIA,ST,,,,1016PT,A,628.0,2.0,32.738956,-117.17746,6100.0,1.0,,1015.0
P16010000058,2016-01-01 00:13:17,6,800,,THOMAS,AV,,,,415,A,122.0,2.0,32.793694,-117.25454,7910.0,1.0,,1015.0
P16010000068,2016-01-01 00:16:16,6,0,,UNIVERSITY,AV,,WINONA,AV,417,A,827.0,,,,,,,
P16010000109,2016-01-01 00:32:39,6,6900,,CONSOLIDATED,WY,,,,459A,CAN,243.0,2.0,32.8779,-117.16675,8350.0,1.0,,1030.0
P16010000110,2016-01-01 00:32:57,6,0,,FANUEL,ST,,GARNET,AV,1016,A,122.0,2.0,,,,,,
P16010000116,2016-01-01 00:35:51,6,5100,,VIA CINTA,,,,,PARTY,CAN,115.0,3.0,32.84786,-117.18592,8345.0,1.0,,1003.0
P16010000124,2016-01-01 00:41:07,6,1400,,GARNET,AV,,,,1151,A,122.0,2.0,32.79901,-117.244385,7903.0,3.0,,3021.0
