,tract,blockgroup
0,010013,2
1,010103,3
2,010104,2
3,010103,2
4,010106,1
5,008504,1
6,004100,4
7,004200,4
8,005400,3
9,006100,2
10,007100,3
11,007200,2
12,007800,2
13,007908,1
14,007910,1
15,008006,3
16,008305,2
17,000700,3
18,001900,1
19,002703,3
20,002712,1
21,002712,3
22,008330,2
23,008365,1
24,008366,1
25,008510,4
26,008800,4
27,008200,3
28,008312,3
29,008361,2
30,008362,2
31,008502,4
32,008702,1
33,009305,2
34,009305,3
35,009306,2
36,009306,3
37,009507,3
38,009510,1
39,016504,1
40,016504,4
41,016606,2
42,016607,3
43,016609,3
44,016610,2
45,016612,3
46,018512,3
47,018514,3
48,018519,3
49,018603,2
50,018610,4
51,020019,1
52,020021,3
53,020026,1
54,020027,2
55,020028,1
56,020029,2
57,002001,3
58,006500,1
59,010103,1
60,007100,1
61,008329,2
62,008329,3
63,009706,2
64,000202,1
65,000202,3
66,008337,3
67,008340,3
68,008340,4
69,008341,2
70,008346,2
71,008347,4
72,008902,2
73,008702,2
74,009104,1
75,009202,1
76,009301,2
77,009510,3
78,009704,4
79,009802,1
80,010104,1
81,010200,6
82,010300,3
83,013606,4
84,016614,2
85,016616,2
86,011300,1
87,011902,3
88,012501,1
89,012501,2
90,012502,1
91,018612,2
92,018613,2
93,018614,2
94,019301,2
95,019403,3
96,020029,3
97,020209,3
98,020211,4
99,020213,1
100,020213,2
101,020214,2
102,020214,3
103,020809,3
104,003603,2
105,003401,4
106,014002,1
107,020401,1
108,008348,3
109,008350,4
110,008354,2
111,008363,2
112,008363,3
113,008364,1
114,008364,2
115,008364,3
116,013802,2
117,014200,4
118,014805,1
119,014806,1
120,014902,2
121,015601,3
122,015703,3
123,015901,2
124,015902,4
125,016302,3
126,018300,4
127,018603,3
128,018613,1
129,018803,3
130,019806,3
131,019809,2
132,020023,2
133,020028,2
134,018100,6
135,018200,3
136,018200,4
137,019808,1
138,019808,2
139,019808,3
140,019809,3
141,021400,2
142,021500,2
143,021500,3
*144,021600,1
145,019601,3
146,017200,4
147,017019,1
148,016701,2
149,017047,1
150,017051,2
151,017051,3
152,017403,4
153,017702,2
154,017813,1
155,019905,3
156,020013,3
157,020015,2
158,020017,3
159,010014,2
160,017109,4
161,010800,2
162,011100,3
163,015302,2
164,015704,2
165,016202,1
166,018000,3
167,019302,4
168,016804,3
169,003114,2
170,003304,2
171,019103,3
172,019601,4
173,020213,3
174,021100,3
175,021205,1
176,022100,1
177,018700,1
178,008303,2
179,020903,3
180,008327,3
181,017808,2
182,016609,2
183,012003,1
184,017034,1
185,017014,2
186,017104,2
187,018504,2
188,007501,2
189,009103,2
190,009704,3
191,002402,1
192,013203,2
193,017015,3
194,017404,2
195,018504,4
196,003601,1
197,018801,1
198,019303,1
199,004501,1
200,013908,1
201,016901,4
202,003208,3
203,003212,2
204,018611,1
205,013906,1
206,020103,3
207,019105,3
208,021100,1
209,003207,1
210,008507,2
211,016901,1
212,013702,3
213,018801,2
214,016701,1
215,010107,4
216,017019,2
217,008600,1
218,019208,1
219,002707,3
220,020307,1
221,001800,5
222,004501,2
223,019701,1
224,008339,1
225,019806,1
226,015602,1
227,015501,2
228,015301,2
229,005900,1
230,002708,1
231,018608,1
232,017808,1
233,015200,2
234,018512,1
*235,020706,1
236,020015,1
237,008352,1
238,013309,3
*239,021304,2
240,020307,2
241,020022,1
242,019207,2
243,018903,1
244,013410,2
245,016302,1
246,017604,1
247,013204,3
248,009802,2
249,007600,3
250,004600,1
251,002707,1
252,008346,1
253,009506,2
254,019503,3
255,019809,1
256,020029,1
257,020109,1
258,020109,2
259,020214,1
*260,013206,2
261,013409,1
262,013414,2
263,013414,4
*264,013419,2
265,013421,1
266,017022,1
267,017022,2
268,017022,3
269,013104,2
270,013309,5
271,020903,1
272,021302,1
273,008301,2
274,008301,3
275,008303,3
276,008306,1
277,008306,2
278,008307,3
279,008310,1
280,008311,1
281,001500,2
282,001500,3
283,001500,4
284,001600,1
285,001600,2
286,001600,3
287,001600,4
288,001700,1
289,001700,2
290,001700,3
291,001800,1
292,008311,2
293,008313,2
294,020806,1
295,020806,2
296,020806,3
297,021000,2
298,004000,2
299,010109,1
300,017809,1
301,003301,2
302,003303,1
303,003303,2
304,003404,1
305,003404,2
306,003403,3
307,003501,1
308,003401,1
309,003214,2
310,003301,1
311,003401,2
312,003403,1
313,003403,2
314,018905,1
315,019001,1
316,019106,2
*317,013314,1
318,009603,1
319,016616,1
320,009704,5
321,009509,1
322,009506,1
323,017813,2
324,017200,3
325,017401,2
326,017401,4
327,009505,3
328,009505,2
329,009504,2
330,008353,3
331,017403,1
332,017801,2
333,017801,3
334,017801,4
335,018614,3
336,013310,1
337,008347,1
338,008335,2
339,008324,2
340,008312,4
341,008305,1
342,007600,4
343,017054,1
344,000201,1
345,002711,2
346,002712,2
347,018601,2
348,018603,4
349,018609,3
350,019406,3
351,019503,2
352,003305,3
353,012502,3
354,008301,1
355,013000,1
356,001800,2
357,001800,3
358,001800,4
359,001800,6
360,001900,2
361,001900,3
362,002001,1
363,002201,2
364,002202,2
365,002202,3
366,002301,1
367,002301,2
368,002301,3
369,002302,1
370,002302,3
371,002401,1
372,002401,2
373,002501,1
374,002501,2
375,002501,3
376,002502,1
377,002502,2
378,013906,2
379,015406,1
380,015501,1
381,015703,1
382,016802,2
383,016806,2
*384,017020,1
385,017029,1
386,017030,1
387,002601,1
388,002601,2
389,017048,2
390,017502,3
391,017810,1
392,018507,4
393,018516,2
394,018609,1
395,018803,1
396,018803,2
397,019106,1
398,019207,1
399,019702,4
400,020017,2
401,020103,2
402,020304,3
403,020405,2
404,020601,1
405,020904,3
406,000100,2
407,000300,1
408,000300,2
409,002002,1
410,002002,2
411,002100,1
412,002100,2
413,002100,3
414,002100,4
415,002100,5
416,000300,3
417,000300,4
418,000300,5
419,000400,1
420,000400,2
421,000500,1
422,000500,2
423,000500,3
424,000600,1
425,000600,2
426,000600,3
427,000700,1
428,000700,2
429,000800,1
430,000800,2
431,000800,3
432,002401,3
433,002402,2
434,000900,1
435,000900,3
436,000900,4
437,000900,6
438,001000,1
439,001000,2
440,001000,3
441,001000,4
442,001100,1
443,001100,2
444,001100,3
445,001200,1
446,001200,2
447,001200,3
448,001200,4
449,001300,1
450,001300,2
451,001300,3
452,001300,4
453,001400,1
454,001400,2
455,001400,3
456,001500,1
457,005100,2
458,005200,1
459,007301,1
460,005200,2
461,005300,1
462,005300,2
463,005300,3
464,005300,4
465,005400,1
466,005400,2
467,004100,3
468,005500,1
469,005600,1
470,005700,2
471,005800,1
472,005900,2
473,005900,3
474,006000,1
475,006000,2
476,006000,3
477,006100,1
478,006500,2
479,006500,3
480,006600,1
481,006801,1
482,006802,1
483,006802,2
484,006802,3
485,007800,4
486,007800,5
487,006900,2
488,006900,3
489,007002,1
490,008101,4
491,008101,5
492,008102,1
493,008102,2
494,008102,3
495,008200,1
496,003502,2
497,003502,3
498,003602,1
499,007200,1
500,007800,1
501,007800,3
502,003602,2
503,003800,1
504,003901,1
505,003901,3
506,003902,1
507,003902,2
508,008200,2
509,007903,2
510,007903,3
511,003902,3
512,004000,1
513,004000,3
514,004000,4
515,004100,1
516,004100,2
517,007502,1
518,007502,2
519,007502,3
520,007600,1
521,007600,2
522,008002,1
523,007301,2
524,007302,1
525,007302,3
526,007400,2
527,007400,3
528,007400,5
529,007400,6
530,007501,1
531,007501,3
532,007501,4
533,007501,5
534,008002,2
535,008101,1
536,008101,3
537,004200,3
538,004300,2
539,003501,2
540,003501,3
541,003502,1
542,004300,3
543,004400,2
544,004400,3
545,004501,3
546,004600,2
547,004700,1
548,020403,1
549,020707,1
550,020707,2
*551,020709,2
552,020202,3
553,020601,2
554,020601,3
555,020602,1
556,020602,2
557,020602,3
558,020602,4
559,020705,1
560,020206,1
561,020206,2
562,020207,2
563,020208,1
564,020209,1
565,020209,2
566,020210,1
567,020210,2
568,020211,1
569,020211,2
570,020403,2
571,020404,2
572,020405,1
573,020500,1
574,020211,3
575,020109,3
576,020109,4
577,020202,1
578,020202,2
579,020304,2
580,020305,1
