tracts,blockgroups
001001,1
001002,2
002011,1
002021,1
002022,2
002023,3
003001,1
003002,2
003003,3
003004,4
003005,5
004001,1
004002,2
004003,3
005001,1
005002,2
005003,3
006001,1
006002,2
006003,3
007001,1
007002,2
007003,3
008001,1
008002,2
008003,3
008004,4
009001,1
009002,2
009003,3
009004,4
009005,5
009006,6
010001,1
010002,2
010003,3
010004,4
011001,1
011002,2
011003,3
012001,1
012002,2
012003,3
012004,4
013001,1
013002,2
013003,3
013004,4
013005,5
014001,1
014002,2
014003,3
015001,1
015002,2
015003,3
015004,4
016001,1
016002,2
016003,3
016004,4
017001,1
017002,2
017003,3
017004,4
018001,1
018002,2
018003,3
018004,4
018005,5
018006,6
019001,1
019002,2
019003,3
020011,1
020012,2
020013,3
020021,1
020022,2
021001,1
021002,2
021003,3
021004,4
021005,5
022011,1
022012,2
022021,1
022022,2
022023,3
023011,1
023012,2
023013,3
023021,1
023022,2
023023,3
024011,1
024012,2
024013,3
024021,1
024022,2
025011,1
025012,2
025013,3
025021,1
025022,2
025023,3
026011,1
026012,2
026013,3
026021,1
026022,2
026023,3
027021,1
027022,2
027023,3
027031,1
027032,2
027033,3
027034,4
027051,1
027052,2
027071,1
027072,2
027073,3
027074,4
027081,1
027082,2
027083,3
027084,4
027091,1
027092,2
027101,1
027102,2
027111,1
027112,2
027121,1
027122,2
027123,3
028011,1
028012,2
028031,1
028032,2
028033,3
028034,4
028041,1
028042,2
028043,3
029021,1
029022,2
029031,1
029032,2
029033,3
029041,1
029042,2
029043,3
029044,4
029051,1
029052,2
029053,3
030011,1
030012,2
030013,3
030031,1
030032,2
030033,3
030041,1
030042,2
031011,1
031012,2
031013,3
031031,1
031032,2
031033,3
031051,1
031052,2
031071,1
031072,2
031073,3
031081,1
031082,2
031091,1
031092,2
031093,3
031111,1
031112,2
031113,3
031121,1
031122,2
031131,1
031132,2
031141,1
031142,2
031151,1
031152,2
031153,3
031154,4
032011,1
032012,2
032013,3
032021,1
032022,2
032041,1
032042,2
032071,1
032072,2
032073,3
032081,1
032082,2
032083,3
032084,4
032085,5
032091,1
032092,2
032093,3
032111,1
032112,2
032121,1
032122,2
032131,1
032132,2
032141,1
032142,2
032143,3
033011,1
033012,2
033031,1
033032,2
033041,1
033042,2
033051,1
033052,2
033053,3
034011,1
034012,2
034013,3
034014,4
034031,1
034032,2
034033,3
034041,1
034042,2
035011,1
035012,2
035013,3
035021,1
035022,2
035023,3
036011,1
036021,1
036022,2
036031,1
036032,2
036033,3
038001,1
039011,1
039012,2
039013,3
039021,1
039022,2
039023,3
039024,4
040001,1
040002,2
040003,3
040004,4
041001,1
041002,2
041003,3
041004,4
042001,1
042002,2
042003,3
042004,4
043001,1
043002,2
043003,3
044001,1
044002,2
044003,3
044004,4
045011,1
045012,2
045013,3
046001,1
046002,2
047001,1
047002,2
048001,1
048002,2
048003,3
049001,1
049002,2
049003,3
050001,1
051001,1
051002,2
052001,1
052002,2
053001,1
053002,2
053003,3
053004,4
054001,1
054002,2
054003,3
054004,4
055001,1
056001,1
056002,2
057001,1
057002,2
058001,1
059001,1
059002,2
