tract,blockgroup,count,graffiti_count,dump_count,lighting_count,gsl_meandist,dsl_meandist,sl_count,landarea,cent_lat,cent_lon,sl_density
10013.0,2.0,11.0,7.0,0.0,0.0,71.8375719228,,33.0,404606.0,32.5564082,-117.050798,8.15608270762e-05
10103.0,3.0,39.0,26.0,1.0,0.0,78.0487031311,141.987976698,38.0,397184.0,32.5798625,-117.1013027,9.56735417338e-05
10104.0,2.0,86.0,45.0,2.0,2.0,109.044042846,224.792537169,77.0,657709.0,32.5728369,-117.0970686,0.000117073052064
10103.0,2.0,28.0,6.0,1.0,0.0,109.118295782,51.5682800403,26.0,466481.0,32.5804618,-117.0958427,5.57364608634e-05
10106.0,1.0,18.0,10.0,1.0,0.0,121.56612523,201.311257623,38.0,736442.0,32.5724954,-117.0705189,5.15994470712e-05
8504.0,1.0,10.0,1.0,3.0,2.0,143.3475128,161.394023855,14.0,222490.0,32.8304182,-117.2004751,6.29241763675e-05
4100.0,4.0,32.0,5.0,4.0,5.0,88.1706789444,160.534914854,100.0,847384.0,32.7149318,-117.124618,0.000118010252731
4200.0,4.0,21.0,2.0,8.0,0.0,113.840032937,108.707028813,26.0,474314.0,32.7259543,-117.1212151,5.4816007961e-05
5400.0,3.0,18.0,2.0,1.0,5.0,36.9008544059,90.8699329594,84.0,74090.0,32.7122706,-117.1691386,0.00113375624241
6100.0,2.0,39.0,7.0,6.0,9.0,106.733453818,64.2679670863,93.0,448379.0,32.7342169,-117.1742465,0.000207413817329
7100.0,3.0,25.0,1.0,3.0,2.0,2289.50573489,71.6380596256,25.0,558085.0,32.7203455,-117.232961,4.47960436134e-05
7200.0,2.0,66.0,14.0,0.0,19.0,155.600802161,,161.0,1684279.0,32.7266569,-117.2544569,9.55898636746e-05
7800.0,2.0,45.0,14.0,13.0,0.0,181.311648345,115.852901714,47.0,463655.0,32.807006,-117.2198018,0.000101368474404
7908.0,1.0,9.0,0.0,0.0,0.0,,,22.0,155137.0,32.8000429,-117.2350454,0.000141810142004
7910.0,1.0,106.0,7.0,5.0,17.0,73.3042728842,87.0926349176,97.0,403754.0,32.7943264,-117.2551413,0.000240245297879
8006.0,3.0,10.0,0.0,1.0,2.0,,124.795143757,22.0,109500.0,32.807978,-117.2581191,0.000200913242009
8305.0,2.0,16.0,0.0,0.0,2.0,,,25.0,1540013.0,32.8780446,-117.2230986,1.62336291966e-05
700.0,3.0,11.0,0.0,6.0,0.0,,116.878000925,23.0,158842.0,32.7422747,-117.1492951,0.000144797975347
1900.0,1.0,20.0,0.0,2.0,0.0,,366.9774304,24.0,791444.0,32.7698524,-117.1246003,3.03243185873e-05
2703.0,3.0,12.0,1.0,1.0,1.0,135.080558727,141.062758205,57.0,425084.0,32.7455825,-117.0756691,0.000134091144339
2712.0,1.0,14.0,0.0,3.0,0.0,,117.843013599,63.0,1349228.0,32.7320561,-117.0689777,4.66933683558e-05
2712.0,3.0,17.0,2.0,9.0,0.0,214.614647294,118.386132507,28.0,507529.0,32.7232735,-117.0807963,5.51692612639e-05
8330.0,2.0,10.0,0.0,0.0,1.0,,,106.0,574732.0,32.9515311,-117.2257179,0.00018443378827
8365.0,1.0,7.0,0.0,0.0,0.0,,,47.0,643750.0,32.9450495,-117.1384059,7.30097087379e-05
8366.0,1.0,18.0,0.0,0.0,5.0,,,271.0,6094609.0,32.9526852,-117.1604288,4.44655268287e-05
8510.0,4.0,13.0,0.0,0.0,1.0,,,22.0,733857.0,32.8049947,-117.1667916,2.99785925596e-05
8800.0,4.0,5.0,0.0,1.0,2.0,,122.689759158,18.0,180594.0,32.783364,-117.1678588,9.96710854181e-05
8200.0,3.0,56.0,0.0,2.0,22.0,,264.402133503,109.0,474670.0,32.8453522,-117.2706411,0.000229633218868
8312.0,3.0,16.0,0.0,0.0,2.0,,,35.0,1176726.0,32.8649886,-117.2479486,2.97435426769e-05
8361.0,2.0,2.0,0.0,0.0,0.0,,,6.0,89847.0,32.8630363,-117.2345241,6.67801929948e-05
8362.0,2.0,,,,,,,,,,,
8502.0,4.0,5.0,1.0,0.0,0.0,84.2871477577,,44.0,744074.0,32.8353226,-117.2110193,5.91339033483e-05
8702.0,1.0,45.0,19.0,0.0,0.0,182.996002215,,58.0,1131314.0,32.7943626,-117.1535273,5.12678177765e-05
9305.0,2.0,3.0,0.0,0.0,0.0,,,26.0,271885.0,32.7970265,-117.1278749,9.56286665318e-05
9305.0,3.0,2.0,0.0,0.0,0.0,,,13.0,229383.0,32.7912715,-117.1261021,5.66737726859e-05
9306.0,2.0,2.0,1.0,1.0,0.0,64.9380665231,42.8456113486,20.0,193597.0,32.8000368,-117.1261193,0.000103307385962
9306.0,3.0,5.0,0.0,0.0,0.0,,,19.0,209508.0,32.8048854,-117.1265598,9.06886610535e-05
9507.0,3.0,9.0,0.0,1.0,0.0,,32.1456168004,28.0,923043.0,32.8136597,-117.0682504,3.03344481243e-05
9510.0,1.0,,,,,,,,,,,
16504.0,1.0,,,,,,,,,,,
16504.0,4.0,,,,,,,,,,,
16606.0,2.0,,,,,,,,,,,
16607.0,3.0,,,,,,,,,,,
16609.0,3.0,,,,,,,,,,,
16610.0,2.0,,,,,,,,,,,
16612.0,3.0,,,,,,,,,,,
18512.0,3.0,,,,,,,,,,,
18514.0,3.0,,,,,,,,,,,
18519.0,3.0,,,,,,,,,,,
18603.0,2.0,,,,,,,,,,,
18610.0,4.0,,,,,,,,,,,
20019.0,1.0,,,,,,,,,,,
20021.0,3.0,,,,,,,,,,,
20026.0,1.0,,,,,,,,,,,
20027.0,2.0,,,,,,,,,,,
20028.0,1.0,,,,,,,,,,,
20029.0,2.0,,,,,,,,,,,
2001.0,3.0,36.0,3.0,0.0,2.0,96.1542576135,,70.0,342663.0,32.7613844,-117.1015355,0.000204282341543
6500.0,1.0,97.0,3.0,25.0,4.0,246.074448979,238.103504655,200.0,1811125.0,32.7540326,-117.2088997,0.000110428601008
10103.0,1.0,10.0,5.0,2.0,0.0,225.771185616,289.232016414,9.0,2267385.0,32.5996184,-117.0958327,3.96933030782e-06
7100.0,1.0,18.0,0.0,0.0,0.0,,,37.0,755377.0,32.7145648,-117.237928,4.89821638731e-05
8329.0,2.0,5.0,0.0,1.0,0.0,,230.933398396,27.0,546016.0,32.9389769,-117.2343781,4.94491003927e-05
8329.0,3.0,3.0,0.0,0.0,0.0,,,19.0,334474.0,32.9442844,-117.2344082,5.68056111985e-05
9706.0,2.0,15.0,2.0,1.0,0.0,294.068963402,435.916387035,36.0,576333.0,32.7809015,-117.0588022,6.24638880647e-05
202.0,1.0,29.0,1.0,1.0,0.0,40.229335497,45.9200337579,67.0,398313.0,32.743901,-117.177338,0.000168209423243
202.0,3.0,32.0,1.0,1.0,1.0,14.1458262641,57.9990773636,66.0,561250.0,32.7451109,-117.1711131,0.000117594654788
8337.0,3.0,8.0,1.0,0.0,0.0,185.246671856,,42.0,502912.0,32.9553442,-117.1368837,8.35136166964e-05
8340.0,3.0,1.0,0.0,0.0,0.0,,,21.0,377507.0,32.8718309,-117.1999695,5.56281075583e-05
8340.0,4.0,15.0,0.0,1.0,2.0,,123.615309428,54.0,500362.0,32.8678234,-117.2045327,0.00010792186457
8341.0,2.0,23.0,0.0,0.0,2.0,,,50.0,474839.0,32.8717691,-117.216157,0.000105298848662
8346.0,2.0,5.0,0.0,0.0,2.0,,,62.0,1816013.0,32.9322708,-117.156419,3.41407247635e-05
8347.0,4.0,2.0,0.0,0.0,0.0,,,32.0,218866.0,32.9292352,-117.1498655,0.000146208182175
8902.0,2.0,16.0,4.0,1.0,0.0,205.38550762,476.421516073,28.0,769110.0,32.7666935,-117.1740746,3.64057156974e-05
8702.0,2.0,25.0,1.0,4.0,2.0,190.106088361,92.3459873499,92.0,1372254.0,32.7812135,-117.1582498,6.70429818386e-05
9104.0,1.0,20.0,0.0,0.0,0.0,,,42.0,556879.0,32.7813624,-117.2032921,7.54203336811e-05
9202.0,1.0,18.0,5.0,1.0,2.0,153.615067323,1.93191903627,84.0,1738457.0,32.7820463,-117.1473603,4.83187102126e-05
9301.0,2.0,13.0,0.0,0.0,0.0,,,44.0,751627.0,32.7964852,-117.1342016,5.85396745992e-05
9510.0,3.0,,,,,,,,,,,
9704.0,4.0,7.0,0.0,0.0,0.0,,,31.0,670642.0,32.8023694,-117.0600514,4.62243641168e-05
9802.0,1.0,24.0,7.0,0.0,0.0,68.6382086463,,83.0,579832.0,32.7961346,-117.0200128,0.00014314491094
10104.0,1.0,15.0,6.0,0.0,0.0,59.604410568,,41.0,961651.0,32.5636143,-117.0970072,4.26350099984e-05
10200.0,6.0,1.0,1.0,0.0,0.0,5612.50118369,,,,,,
10300.0,3.0,,,,,,,,,,,
13606.0,4.0,,,,,,,,,,,
16614.0,2.0,,,,,,,,,,,
16616.0,2.0,,,,,,,,,,,
11300.0,1.0,1.0,0.0,0.0,0.0,,,,,,,
11902.0,3.0,,,,,,,,,,,
12501.0,1.0,,,,,,,,,,,
12501.0,2.0,1.0,0.0,0.0,0.0,,,,,,,
12502.0,1.0,,,,,,,,,,,
18612.0,2.0,,,,,,,,,,,
18613.0,2.0,,,,,,,,,,,
18614.0,2.0,,,,,,,,,,,
19301.0,2.0,,,,,,,,,,,
19403.0,3.0,,,,,,,,,,,
20029.0,3.0,,,,,,,,,,,
20209.0,3.0,,,,,,,,,,,
20211.0,4.0,,,,,,,,,,,
20213.0,1.0,,,,,,,,,,,
20213.0,2.0,,,,,,,,,,,
20214.0,2.0,,,,,,,,,,,
20214.0,3.0,,,,,,,,,,,
20809.0,3.0,,,,,,,,,,,
3603.0,2.0,17.0,1.0,1.0,1.0,53.8991498409,236.802346153,26.0,230776.0,32.6848546,-117.1063686,0.000112663361875
3401.0,4.0,24.0,6.0,6.0,0.0,175.401688438,103.797085856,86.0,800484.0,32.7262393,-117.0897175,0.000107435001824
14002.0,1.0,,,,,,,,,,,
20401.0,1.0,,,,,,,,,,,
8348.0,3.0,5.0,0.0,0.0,0.0,,,44.0,591245.0,32.9121164,-117.1687159,7.44192339893e-05
8350.0,4.0,1.0,0.0,0.0,0.0,,,32.0,297589.0,32.9068583,-117.1660672,0.000107530856315
8354.0,2.0,9.0,0.0,1.0,0.0,,30.0546822838,34.0,466043.0,32.9284272,-117.1225547,7.29546415245e-05
8363.0,2.0,,,,,,,,,,,
8363.0,3.0,1.0,0.0,1.0,0.0,,85.2136378168,4.0,79447.0,32.8630916,-117.2237614,5.03480307626e-05
8364.0,1.0,4.0,0.0,0.0,2.0,,,20.0,404363.0,32.8576312,-117.2259345,4.94605094927e-05
8364.0,2.0,1.0,1.0,0.0,0.0,259.64203813,,7.0,241871.0,32.8621091,-117.2276112,2.89410470871e-05
8364.0,3.0,2.0,0.0,0.0,0.0,,,22.0,343009.0,32.858681,-117.2298905,6.41382587629e-05
13802.0,2.0,,,,,,,,,,,
14200.0,4.0,,,,,,,,,,,
14805.0,1.0,,,,,,,,,,,
14806.0,1.0,,,,,,,,,,,
