,tract,blockgroup,count,graffiti_count,dump_count,lighting_count,sl_count,landarea,cent_lat,cent_lon,sl_density,gsl_meandist,dsl_meandist
0,10013.0,2.0,11.0,7.0,0.0,0.0,33.0,404606.0,32.5564082,-117.050798,8.15608270762e-05,71.837571924,
1,10103.0,3.0,39.0,26.0,1.0,0.0,38.0,397184.0,32.5798625,-117.1013027,9.56735417338e-05,78.0487031315,141.987976698
2,10104.0,2.0,86.0,45.0,2.0,2.0,77.0,657709.0,32.5728369,-117.0970686,0.000117073052064,109.044042846,224.792537171
3,10103.0,2.0,28.0,6.0,1.0,0.0,26.0,466481.0,32.5804618,-117.0958427,5.57364608634e-05,109.118295783,51.5682800371
4,10106.0,1.0,18.0,10.0,1.0,0.0,38.0,736442.0,32.5724954,-117.0705189,5.15994470712e-05,121.56612523,201.311257626
5,8504.0,1.0,10.0,1.0,3.0,2.0,14.0,222490.0,32.8304182,-117.2004751,6.29241763675e-05,143.347512801,161.394023856
6,4100.0,4.0,32.0,5.0,4.0,5.0,100.0,847384.0,32.7149318,-117.124618,0.000118010252731,88.1706789468,160.534914855
7,4200.0,4.0,21.0,2.0,8.0,0.0,26.0,474314.0,32.7259543,-117.1212151,5.4816007961e-05,113.840032932,108.707028811
8,5400.0,3.0,18.0,2.0,1.0,5.0,84.0,74090.0,32.7122706,-117.1691386,0.00113375624241,36.9008544041,90.8699329636
9,6100.0,2.0,39.0,7.0,6.0,9.0,93.0,448379.0,32.7342169,-117.1742465,0.000207413817329,106.733453817,64.2679670858
10,7100.0,3.0,25.0,1.0,3.0,2.0,25.0,558085.0,32.7203455,-117.232961,4.47960436134e-05,2289.50573489,71.6380596256
11,7200.0,2.0,66.0,14.0,0.0,19.0,161.0,1684279.0,32.7266569,-117.2544569,9.55898636746e-05,155.600802161,
12,7800.0,2.0,45.0,14.0,13.0,0.0,47.0,463655.0,32.807006,-117.2198018,0.000101368474404,181.311648345,115.852901717
13,7908.0,1.0,9.0,0.0,0.0,0.0,22.0,155137.0,32.8000429,-117.2350454,0.000141810142004,,
14,7910.0,1.0,106.0,7.0,5.0,17.0,97.0,403754.0,32.7943264,-117.2551413,0.000240245297879,73.3042728844,87.0926349169
15,8006.0,3.0,10.0,0.0,1.0,2.0,22.0,109500.0,32.807978,-117.2581191,0.000200913242009,,124.795143757
16,8305.0,2.0,16.0,0.0,0.0,2.0,25.0,1540013.0,32.8780446,-117.2230986,1.62336291966e-05,,
17,700.0,3.0,11.0,0.0,6.0,0.0,23.0,158842.0,32.7422747,-117.1492951,0.000144797975347,,116.878000925
18,1900.0,1.0,20.0,0.0,2.0,0.0,24.0,791444.0,32.7698524,-117.1246003,3.03243185873e-05,,366.977430404
19,2703.0,3.0,12.0,1.0,1.0,1.0,57.0,425084.0,32.7455825,-117.0756691,0.000134091144339,135.080558724,141.062758202
20,2712.0,1.0,14.0,0.0,3.0,0.0,63.0,1349228.0,32.7320561,-117.0689777,4.66933683558e-05,,117.843013598
21,2712.0,3.0,17.0,2.0,9.0,0.0,28.0,507529.0,32.7232735,-117.0807963,5.51692612639e-05,214.614647297,118.386132507
22,8330.0,2.0,10.0,0.0,0.0,1.0,106.0,574732.0,32.9515311,-117.2257179,0.00018443378827,,
23,8365.0,1.0,7.0,0.0,0.0,0.0,47.0,643750.0,32.9450495,-117.1384059,7.30097087379e-05,,
24,8366.0,1.0,18.0,0.0,0.0,5.0,271.0,6094609.0,32.9526852,-117.1604288,4.44655268287e-05,,
25,8510.0,4.0,13.0,0.0,0.0,1.0,22.0,733857.0,32.8049947,-117.1667916,2.99785925596e-05,,
26,8800.0,4.0,5.0,0.0,1.0,2.0,18.0,180594.0,32.783364,-117.1678588,9.96710854181e-05,,122.68975916
27,8200.0,3.0,56.0,0.0,2.0,22.0,109.0,474670.0,32.8453522,-117.2706411,0.000229633218868,,264.402133503
28,8312.0,3.0,16.0,0.0,0.0,2.0,35.0,1176726.0,32.8649886,-117.2479486,2.97435426769e-05,,
29,8361.0,2.0,2.0,0.0,0.0,0.0,6.0,89847.0,32.8630363,-117.2345241,6.67801929948e-05,,
30,8362.0,2.0,,,,,,,,,,,
31,8502.0,4.0,5.0,1.0,0.0,0.0,44.0,744074.0,32.8353226,-117.2110193,5.91339033483e-05,84.2871477577,
32,8702.0,1.0,45.0,19.0,0.0,0.0,58.0,1131314.0,32.7943626,-117.1535273,5.12678177765e-05,182.996002214,
33,9305.0,2.0,3.0,0.0,0.0,0.0,26.0,271885.0,32.7970265,-117.1278749,9.56286665318e-05,,
34,9305.0,3.0,2.0,0.0,0.0,0.0,13.0,229383.0,32.7912715,-117.1261021,5.66737726859e-05,,
35,9306.0,2.0,2.0,1.0,1.0,0.0,20.0,193597.0,32.8000368,-117.1261193,0.000103307385962,64.9380665266,42.8456113487
36,9306.0,3.0,5.0,0.0,0.0,0.0,19.0,209508.0,32.8048854,-117.1265598,9.06886610535e-05,,
37,9507.0,3.0,9.0,0.0,1.0,0.0,28.0,923043.0,32.8136597,-117.0682504,3.03344481243e-05,,32.1456168004
38,9510.0,1.0,,,,,,,,,,,
39,16504.0,1.0,,,,,,,,,,,
40,16504.0,4.0,,,,,,,,,,,
41,16606.0,2.0,,,,,,,,,,,
42,16607.0,3.0,,,,,,,,,,,
43,16609.0,3.0,,,,,,,,,,,
44,16610.0,2.0,,,,,,,,,,,
45,16612.0,3.0,,,,,,,,,,,
46,18512.0,3.0,,,,,,,,,,,
47,18514.0,3.0,,,,,,,,,,,
48,18519.0,3.0,,,,,,,,,,,
49,18603.0,2.0,,,,,,,,,,,
50,18610.0,4.0,,,,,,,,,,,
51,20019.0,1.0,,,,,,,,,,,
52,20021.0,3.0,,,,,,,,,,,
53,20026.0,1.0,,,,,,,,,,,
54,20027.0,2.0,,,,,,,,,,,
55,20028.0,1.0,,,,,,,,,,,
56,20029.0,2.0,,,,,,,,,,,
57,2001.0,3.0,36.0,3.0,0.0,2.0,70.0,342663.0,32.7613844,-117.1015355,0.000204282341543,96.1542576124,
58,6500.0,1.0,97.0,3.0,25.0,4.0,200.0,1811125.0,32.7540326,-117.2088997,0.000110428601008,246.074448979,238.103504655
59,10103.0,1.0,10.0,5.0,2.0,0.0,9.0,2267385.0,32.5996184,-117.0958327,3.96933030782e-06,225.771185616,289.23201641
60,7100.0,1.0,18.0,0.0,0.0,0.0,37.0,755377.0,32.7145648,-117.237928,4.89821638731e-05,,
61,8329.0,2.0,5.0,0.0,1.0,0.0,27.0,546016.0,32.9389769,-117.2343781,4.94491003927e-05,,230.933398395
62,8329.0,3.0,3.0,0.0,0.0,0.0,19.0,334474.0,32.9442844,-117.2344082,5.68056111985e-05,,
63,9706.0,2.0,15.0,2.0,1.0,0.0,36.0,576333.0,32.7809015,-117.0588022,6.24638880647e-05,294.068963403,435.916387035
64,202.0,1.0,29.0,1.0,1.0,0.0,67.0,398313.0,32.743901,-117.177338,0.000168209423243,40.2293354927,45.9200337579
65,202.0,3.0,32.0,1.0,1.0,1.0,66.0,561250.0,32.7451109,-117.1711131,0.000117594654788,14.1458262641,57.9990773636
66,8337.0,3.0,8.0,1.0,0.0,0.0,42.0,502912.0,32.9553442,-117.1368837,8.35136166964e-05,185.246671854,
67,8340.0,3.0,1.0,0.0,0.0,0.0,21.0,377507.0,32.8718309,-117.1999695,5.56281075583e-05,,
