,0,1,2,3,lon,lat,block,tract,geoid,blockgroup
0,115551,BP-001212-001,50014857,A,-117.236854492,32.7666179217,3010,007600,060730076003010,3
1,115552,BP-001212-003,50014858,A,-117.234878108,32.7663908695,3010,007600,060730076003010,3
2,127791,BP-001292-048,50027597,A,-117.158183261,32.7275147371,2023,005600,060730056002023,2
3,127862,BP-001292-238,50027663,A,-117.154311981,32.7256451507,2038,005600,060730056002038,2
4,128787,BD-001283-001,50028579,A,-117.108944144,32.7196701556,2017,003401,060730034012017,2
5,128788,BD-001283-002,50028580,A,-117.108724239,32.7196846645,2017,003401,060730034012017,2
6,128789,BD-001283-003,50028581,A,-117.109083627,32.7192798516,2017,003401,060730034012017,2
7,128792,BD-001283-009,50028587,A,-117.108863933,32.719315989,2017,003401,060730034012017,2
8,128801,BP-001177-002,50028601,A,-117.14696684,32.7570650224,1000,000600,060730006001000,1
9,128804,BP-001177-003,50028605,A,-117.146445349,32.7569420828,1000,000600,060730006001000,1
10,128805,BP-001177-004,50028606,A,-117.146438688,32.7567480768,,,,
11,128806,BP-001177-005,50028609,A,-117.146444475,32.7563955687,,,,
12,128816,BP-000827-012,50028621,A,-117.082364767,32.7962636599,,,,
13,128819,BP-001202-001,50028626,A,-117.081876984,32.7966248711,,,,
14,128820,BP-001202-002,50028628,A,-117.081906798,32.7967222856,,,,
15,128821,BP-000827-021,50028629,A,-117.082294277,32.7959387505,,,,
16,128822,BP-000827-022,50028630,A,-117.081646337,32.7956584057,,,,
17,128832,BP-000827-010,50028650,A,-117.080833798,32.794264723,,,,
18,128833,BP-000827-011,50028653,A,-117.080515764,32.7942424593,,,,
19,128836,BP-000827-015,50028658,A,-117.081513796,32.7938615482,,,,
20,128840,BP-000879-001,50028662,A,-117.117993157,32.7630807371,,,,
21,128844,BP-000879-005,50028670,A,-117.117449557,32.7630308283,,,,
22,128850,BP-000805-040,50028680,A,-117.147254223,32.8052999614,,,,
23,128857,BP-000805-004,50028687,A,-117.147032639,32.805711813,,,,
24,128858,BP-000805-005,50028688,A,-117.147407029,32.8055241946,,,,
25,128864,BP-001015-001,50028694,A,-117.036293056,32.6792225008,,,,
26,128866,BP-001015-004,50028696,A,-117.035682338,32.6796377681,,,,
27,128868,BP-001015-006,50028698,A,-117.0349696,32.6800969844,,,,
28,128874,BP-001015-002,50028704,A,-117.035497188,32.6804075671,,,,
29,128875,BP-001015-012,50028705,A,-117.035546266,32.6801690907,,,,
30,128877,BP-001015-014,50028707,A,-117.03558997,32.6807642215,,,,
31,128879,BP-001015-016,50028709,A,-117.035427042,32.681154982,,,,
32,128889,BP-001206-005,50028726,A,-117.232737331,32.7214888589,,,,
33,128890,BP-001206-006,50028731,A,-117.232888108,32.7213015799,,,,
34,128894,BP-000783-004,50028739,A,-117.216604288,32.8203293215,,,,
35,128895,BP-000783-005,50028740,A,-117.215646854,32.8205546171,,,,
36,128904,BP-001301-004,50028758,A,-117.143464596,32.7012795761,,,,
37,128906,BP-001301-006,50028764,A,-117.143226885,32.7011102654,,,,
38,128910,BP-000911-007,50028768,A,-117.098116757,32.7471693852,,,,
39,128917,BP-000911-003,50028783,A,-117.098696342,32.7464082998,,,,
40,128926,BP-000880-015,50028792,A,-117.059634693,32.7634573599,,,,
41,128934,BP-001221-002,50028804,A,-117.246769165,32.7705093629,,,,
42,128951,BP-000806-013,50028826,A,-117.200104375,32.8066129104,,,,
43,128957,BP-000806-005,50028837,A,-117.199612379,32.8054532309,,,,
44,128959,BP-000902-001,50028841,A,-117.081316769,32.7519347803,,,,
45,128960,BP-000902-002,50028842,A,-117.081596208,32.7519328972,,,,
46,128962,BP-000902-004,50028844,A,-117.081405009,32.7524118427,,,,
47,128965,BP-000902-007,50028848,A,-117.081645631,32.7522449165,,,,
48,128967,BP-000902-009,50028851,A,-117.080655748,32.7526970244,,,,
49,128971,BP-000902-013,50028862,A,-117.080953968,32.7527107597,,,,
50,128973,BP-000902-015,50028867,A,-117.081130873,32.7527016965,,,,
51,128974,BP-000902-016,50028871,A,-117.081120668,32.7526073055,,,,
52,128976,BP-000902-018,50028876,A,-117.081410463,32.7527155562,,,,
53,128983,BP-000902-025,50028888,A,-117.080511427,32.7522099539,,,,
54,128985,BP-000902-027,50028893,A,-117.080705032,32.7519961161,,,,
55,128987,BP-000902-029,50028897,A,-117.080441328,32.7516908971,,,,
56,128992,BP-000902-034,50028904,A,-117.080143854,32.7517558721,,,,
57,129000,BP-000902-042,50028914,A,-117.08017374,32.7499845507,,,,
58,129004,BP-000902-046,50028920,A,-117.078970599,32.7527949458,,,,
59,129025,BP-000951-012,50028950,A,-117.057683911,32.7151606179,,,,
60,129026,BP-000951-014,50028952,A,-117.057861555,32.7151490912,,,,
61,129028,BP-000951-016,50028955,A,-117.05711111,32.7146199635,,,,
62,129033,BP-000951-002,50028963,A,-117.056459355,32.715303353,,,,
63,129037,BP-000951-006,50028968,A,-117.056117649,32.7154713984,,,,
64,129041,BP-000951-010,50028976,A,-117.056222031,32.7154914425,,,,
65,129043,BP-001229-002,50028978,A,-117.057183531,32.7163916866,,,,
66,129046,BP-001229-005,50028983,A,-117.056081045,32.7160843598,,,,
67,129049,BP-001229-008,50028986,A,-117.056783913,32.716995417,,,,
68,129067,BP-001222-001,50029016,A,-117.13393625,32.7263687765,,,,
69,129068,BP-001222-002,50029017,A,-117.133945808,32.7265619404,,,,
70,129071,BP-001222-005,50029021,A,-117.135163336,32.7271522298,,,,
71,129082,BP-000700-018,50029032,A,-117.082721653,32.9103979328,,,,
72,129083,BP-000700-019,50029033,A,-117.082467186,32.9105108972,,,,
73,129084,BP-000700-002,50029034,A,-117.082876156,32.9101743913,,,,
74,129085,BP-000700-003,50029035,A,-117.082603756,32.9101345076,,,,
75,129091,BP-000700-009,50029041,A,-117.082235077,32.9103733973,,,,
76,129097,BP-000984-006,50029047,A,-117.0911348,32.6996470799,,,,
77,129185,BP-000957-012,50029165,A,-117.111843625,32.7127710232,,,,
78,129191,BP-000957-018,50029171,A,-117.111213819,32.7133126548,,,,
79,129200,BP-000957-009,50029180,A,-117.111861455,32.7130495249,,,,
80,129201,BP-000957-010,50029181,A,-117.11170134,32.713069877,,,,
81,129218,BP-000982-006,50029201,A,-117.06060857,32.6995470977,,,,
82,129221,BP-000982-009,50029204,A,-117.059808656,32.6997880519,,,,
83,129223,BP-000982-011,50029206,A,-117.059451607,32.6994073801,,,,
84,129226,BP-000982-015,50029209,A,-117.058842544,32.699458795,,,,
85,129228,BP-000982-017,50029211,A,-117.058598368,32.6992255688,,,,
86,129234,BP-000982-024,50029217,A,-117.060043898,32.6989363979,,,,
87,129242,BP-000982-032,50029225,A,-117.061085013,32.6980140524,,,,
88,129249,BP-000982-040,50029232,A,-117.061415668,32.6979278003,,,,
89,129473,BP-000982-049,50029455,A,-117.061613196,32.6989821301,,,,
90,129476,BP-000982-052,50029459,A,-117.062233334,32.6991368585,,,,
91,129479,BP-000905-001,50029468,A,-117.178472821,32.7494496503,,,,
92,129480,BP-000905-005,50029469,A,-117.178180704,32.749510058,,,,
93,129484,BP-000905-009,50029473,A,-117.178093245,32.7488364517,,,,
94,129486,BP-000905-011,50029475,A,-117.177368555,32.7487012271,,,,
95,129488,BP-000905-002,50029477,A,-117.176975727,32.7490097809,,,,
96,129491,BP-001300-001,50029480,A,-117.060585054,32.7673824219,,,,
97,129501,BP-001084-003,50029491,A,-117.067213732,32.5819500687,,,,
98,129502,BP-001084-004,50029496,A,-117.067228945,32.5815691814,,,,
99,129504,BP-001084-006,50029502,A,-117.067467698,32.5810440155,,,,
100,129506,BP-001084-008,50029508,A,-117.068087536,32.5811985603,,,,
101,129508,BP-000834-002,50029512,A,-117.170050752,32.7912436972,,,,
102,129521,BP-000834-015,50029543,A,-117.169812037,32.7928165953,,,,
103,129522,BP-000834-016,50029544,A,-117.169317515,32.7927507607,,,,
104,129533,BP-000786-001,50029555,A,-117.161935135,32.8178442138,,,,
105,129537,BP-000786-005,50029559,A,-117.162553234,32.8189455268,,,,
106,129541,BP-000786-009,50029563,A,-117.162727131,32.819928149,,,,
107,129543,BP-000963-002,50029565,A,-117.02790444,32.7092498338,,,,
108,129544,BP-000963-003,50029566,A,-117.028197547,32.7093355221,,,,
109,129547,BP-000767-002,50029569,A,-117.174550166,32.8401261464,,,,
110,129576,BP-000695-010,50029601,A,-117.139148126,32.9147503435,,,,
111,129581,BP-000695-036,50029606,A,-117.140554925,32.9148681569,,,,
112,129589,BP-000695-015,50029614,A,-117.138820807,32.9131580351,,,,
113,129595,BP-000695-022,50029624,A,-117.141670648,32.9142033521,,,,
114,129596,BP-000695-023,50029625,A,-117.141310438,32.9145812423,,,,
115,129619,BB-001224-001,50029657,A,-117.142386236,32.7397397175,,,,
116,129630,BB-001224-006,50029668,A,-117.139470654,32.7399830412,,,,
117,129633,BB-001224-009,50029671,A,-117.140880076,32.7403486801,,,,
118,129638,BB-001224-015,50029676,A,-117.138437524,32.7399480557,,,,
119,129639,BB-001224-016,50029677,A,-117.137988221,32.7401998092,,,,
120,129641,BB-001224-018,50029679,A,-117.137776169,32.7397967349,,,,
121,129643,BB-001224-020,50029681,A,-117.137767162,32.7389027387,,,,
122,129652,BB-001224-030,50029690,A,-117.139956841,32.738235358,,,,
123,129656,BB-001224-034,50029694,A,-117.13996092,32.7368639298,,,,
124,129659,BB-001224-038,50029697,A,-117.139073325,32.7366335553,,,,
125,129661,BB-001224-040,50029699,A,-117.137863936,32.7367180333,,,,
126,129664,BB-001224-043,50029702,A,-117.137743403,32.7381016644,,,,
127,129670,BB-001224-050,50029708,A,-117.135879258,32.7388253886,,,,
128,129671,BB-001224-051,50029709,A,-117.135995216,32.7392128662,,,,
129,129672,BB-001224-052,50029710,A,-117.136064354,32.7394017893,,,,
130,129675,BB-001224-053,50029713,A,-117.13611089,32.7395719328,,,,
131,129679,BB-001224-055,50029717,A,-117.136395504,32.7400150244,,,,
132,129686,BB-001224-063,50029760,A,-117.140354439,32.7369936841,,,,
133,129691,BB-001224-068,50029772,A,-117.140696784,32.739274071,,,,
134,129694,BB-001224-072,50029779,A,-117.140698625,32.7394562255,,,,
135,129701,BB-001224-079,50029797,A,-117.140335851,32.7397681059,,,,
136,129705,BB-001224-084,50029806,A,-117.140698365,32.7399264747,,,,
137,129706,BB-001224-085,50029808,A,-117.140332507,32.739933352,,,,
138,129712,BB-001224-092,50029815,A,-117.141493827,32.7397724528,,,,
139,129714,BB-001224-094,50029818,A,-117.141216392,32.7391050963,,,,
140,129722,BB-001224-003,50029826,A,-117.141438004,32.7392094067,,,,
141,129724,BP-000793-001,50029828,A,-117.181434466,32.8127288457,,,,
142,129728,BP-000793-005,50029833,A,-117.180920109,32.8120117315,,,,
143,129729,BP-000793-006,50029834,A,-117.180449673,32.8118013054,,,,
144,129739,BP-000975-018,50029853,A,-117.107659233,32.7006589201,,,,
145,129742,BP-000975-004,50029860,A,-117.10788637,32.7008640188,,,,
146,129743,BP-000975-005,50029863,A,-117.107454207,32.6994202739,,,,
147,129746,BP-000975-008,50029870,A,-117.107495528,32.6990392627,,,,
148,129747,BP-000975-009,50029873,A,-117.107625122,32.6991362619,,,,
149,129749,BP-000773-001,50029875,A,-117.196850022,32.8327360817,,,,
150,129751,BP-000773-009,50029882,A,-117.196958511,32.8321725703,,,,
151,129752,BP-000773-010,50029885,A,-117.196760478,32.8321565049,,,,
152,129759,BP-000773-003,50029910,A,-117.198213535,32.8307386577,,,,
153,129760,BP-000773-004,50029913,A,-117.197955301,32.8309340613,,,,
154,129763,BP-000934-001,50029921,A,-117.083042335,32.7329105895,,,,
155,129764,BP-001146-001,50029922,A,-117.246055916,32.7439111247,,,,
156,129771,BP-001147-006,50029935,A,-117.2518244,32.7528222406,,,,
157,129789,BR-001226-013,50029956,A,-117.257175968,32.7493662556,,,,
158,129791,BR-001226-015,50029958,A,-117.257710818,32.7497077439,,,,
159,129796,BR-001226-020,50029963,A,-117.258963208,32.7499218474,,,,
160,129797,BR-001226-021,50029964,A,-117.259189097,32.7494562378,,,,
161,129808,BP-000780-021,50029979,A,-117.170965096,32.8259498505,,,,
162,129811,BP-001296-001,50029986,A,-117.257608024,32.7976496458,,,,
163,129817,BP-001296-007,50029992,A,-117.257378864,32.7966144863,,,,
164,129827,BP-001296-017,50030002,A,-117.25733327,32.7976947153,,,,
165,129828,BP-001296-018,50030003,A,-117.257251005,32.7974690143,,,,
166,129829,BP-001296-019,50030004,A,-117.257104917,32.7967299076,,,,
