tract,blockgroup,count,landarea,cent_lat,cent_lon,sl_density
100.0,1.0,47,663915,+32.7544143,-117.1827574,7.0792194784e-05
100.0,2.0,99,877541,+32.7519389,-117.1882694,0.000112815241681
201.0,1.0,61,864211,+32.7540028,-117.1733775,7.05846141741e-05
202.0,1.0,67,398313,+32.7439010,-117.1773380,0.000168209423243
202.0,2.0,51,346436,+32.7475718,-117.1791893,0.000147213338106
202.0,3.0,66,561250,+32.7451109,-117.1711131,0.000117594654788
300.0,1.0,9,123593,+32.7473602,-117.1666806,7.28196580712e-05
300.0,2.0,48,142238,+32.7467016,-117.1616946,0.000337462562747
300.0,3.0,50,329534,+32.7442234,-117.1587548,0.000151729411836
300.0,4.0,7,99553,+32.7430139,-117.1627521,7.03143049431e-05
300.0,5.0,20,203843,+32.7436490,-117.1655925,9.81147255486e-05
400.0,1.0,36,480192,+32.7545438,-117.1617092,7.49700119952e-05
400.0,2.0,61,267827,+32.7496873,-117.1604516,0.000227758963809
400.0,3.0,24,429433,+32.7542669,-117.1662252,5.58876471999e-05
500.0,1.0,55,649216,+32.7624613,-117.1519868,8.47175670347e-05
500.0,2.0,21,406500,+32.7586342,-117.1532878,5.16605166052e-05
500.0,3.0,10,134618,+32.7581356,-117.1497189,7.42842710484e-05
600.0,1.0,20,217747,+32.7554285,-117.1493074,9.18497154955e-05
600.0,2.0,36,396493,+32.7537990,-117.1548290,9.0796054407e-05
600.0,3.0,78,318042,+32.7503205,-117.1500392,0.000245250627276
700.0,1.0,43,369859,+32.7450063,-117.1539374,0.000116260520901
700.0,2.0,42,251337,+32.7459696,-117.1488433,0.000167106315425
700.0,3.0,23,158842,+32.7422747,-117.1492951,0.000144797975347
800.0,1.0,9,126543,+32.7470238,-117.1400412,7.11220691781e-05
800.0,2.0,8,142596,+32.7439171,-117.1398307,5.61025554714e-05
800.0,3.0,18,193172,+32.7424967,-117.1429981,9.3181206386e-05
800.0,4.0,25,171940,+32.7464164,-117.1442217,0.000145399557985
900.0,1.0,21,158718,+32.7537247,-117.1400499,0.000132310134956
900.0,2.0,17,95977,+32.7503168,-117.1388058,0.000177125769716
900.0,3.0,14,95834,+32.7503126,-117.1412761,0.000146085940272
900.0,4.0,20,73996,+32.7493632,-117.1444141,0.000270284880264
900.0,5.0,11,73908,+32.7512263,-117.1444271,0.000148833685122
900.0,6.0,29,123249,+32.7537067,-117.1444399,0.000235296026743
1000.0,1.0,50,351752,+32.7635700,-117.1414317,0.000142145602584
1000.0,2.0,19,167393,+32.7600382,-117.1419406,0.000113505343712
1000.0,3.0,19,168186,+32.7581695,-117.1419391,0.000112970163985
1000.0,4.0,29,177578,+32.7562461,-117.1419333,0.000163308517947
1100.0,1.0,32,624270,+32.7666255,-117.1337425,5.12598715299e-05
1100.0,2.0,39,178422,+32.7624523,-117.1311357,0.000218582910179
1100.0,3.0,21,133262,+32.7627882,-117.1356437,0.000157584307605
1200.0,1.0,37,173540,+32.7578290,-117.1274219,0.000213207329722
