0,1,2,3,lon,lat
115551,BP-001212-001,50014857,A,-117.23685449215607,32.766617921689075
115552,BP-001212-003,50014858,A,-117.23487810827993,32.76639086945701
127791,BP-001292-048,50027597,A,-117.1581832614682,32.72751473706152
127862,BP-001292-238,50027663,A,-117.15431198061512,32.725645150710655
128787,BD-001283-001,50028579,A,-117.10894414448737,32.719670155551874
128788,BD-001283-002,50028580,A,-117.10872423865507,32.71968466454985
128789,BD-001283-003,50028581,A,-117.10908362671937,32.71927985160602
128792,BD-001283-009,50028587,A,-117.10886393263947,32.71931598896781
128801,BP-001177-002,50028601,A,-117.1469668395011,32.75706502241965
128804,BP-001177-003,50028605,A,-117.14644534879505,32.756942082807235
128805,BP-001177-004,50028606,A,-117.14643868790787,32.75674807682882
128806,BP-001177-005,50028609,A,-117.14644447470809,32.756395568687616
128816,BP-000827-012,50028621,A,-117.08236476656597,32.796263659930894
128819,BP-001202-001,50028626,A,-117.08187698409836,32.79662487111878
128820,BP-001202-002,50028628,A,-117.08190679828897,32.79672228561459
128821,BP-000827-021,50028629,A,-117.08229427687297,32.79593875049524
128822,BP-000827-022,50028630,A,-117.08164633675305,32.79565840571838
128832,BP-000827-010,50028650,A,-117.08083379814883,32.794264722993546
128833,BP-000827-011,50028653,A,-117.08051576358606,32.79424245925836
128836,BP-000827-015,50028658,A,-117.08151379574366,32.79386154817102
128840,BP-000879-001,50028662,A,-117.11799315657707,32.763080737069124
128844,BP-000879-005,50028670,A,-117.11744955702113,32.763030828264874
128850,BP-000805-040,50028680,A,-117.14725422328458,32.80529996138375
128857,BP-000805-004,50028687,A,-117.14703263875045,32.80571181302822
128858,BP-000805-005,50028688,A,-117.14740702881244,32.80552419464975
128864,BP-001015-001,50028694,A,-117.03629305645116,32.67922250084891
128866,BP-001015-004,50028696,A,-117.03568233752522,32.67963776810989
128868,BP-001015-006,50028698,A,-117.03496959998785,32.68009698441314
128874,BP-001015-002,50028704,A,-117.03549718811902,32.68040756709678
128875,BP-001015-012,50028705,A,-117.03554626587075,32.68016909070133
128877,BP-001015-014,50028707,A,-117.03558996960416,32.68076422145523
128879,BP-001015-016,50028709,A,-117.03542704221151,32.68115498195345
128889,BP-001206-005,50028726,A,-117.23273733104561,32.721488858943765
128890,BP-001206-006,50028731,A,-117.2328881080978,32.72130157992317
128894,BP-000783-004,50028739,A,-117.21660428759786,32.82032932145995
128895,BP-000783-005,50028740,A,-117.21564685444095,32.82055461712553
128904,BP-001301-004,50028758,A,-117.14346459630046,32.70127957608285
128906,BP-001301-006,50028764,A,-117.1432268845347,32.70111026537542
128910,BP-000911-007,50028768,A,-117.09811675745591,32.74716938515475
128917,BP-000911-003,50028783,A,-117.09869634200751,32.74640829977711
128926,BP-000880-015,50028792,A,-117.05963469335384,32.76345735994044
128934,BP-001221-002,50028804,A,-117.2467691648764,32.77050936292406
128951,BP-000806-013,50028826,A,-117.20010437475597,32.80661291035891
128957,BP-000806-005,50028837,A,-117.1996123786463,32.805453230920236
128959,BP-000902-001,50028841,A,-117.08131676853672,32.751934780253244
128960,BP-000902-002,50028842,A,-117.08159620762645,32.751932897181355
128962,BP-000902-004,50028844,A,-117.08140500929315,32.752411842742816
128965,BP-000902-007,50028848,A,-117.0816456308986,32.752244916549394
128967,BP-000902-009,50028851,A,-117.08065574840838,32.75269702442082
128971,BP-000902-013,50028862,A,-117.0809539678362,32.75271075967756
128973,BP-000902-015,50028867,A,-117.08113087323952,32.7527016965131
128974,BP-000902-016,50028871,A,-117.08112066751053,32.75260730550376
128976,BP-000902-018,50028876,A,-117.08141046331923,32.752715556154094
128983,BP-000902-025,50028888,A,-117.08051142745984,32.75220995389014
128985,BP-000902-027,50028893,A,-117.08070503168535,32.75199611613275
128987,BP-000902-029,50028897,A,-117.08044132826721,32.751690897091684
128992,BP-000902-034,50028904,A,-117.08014385399935,32.75175587206209
129000,BP-000902-042,50028914,A,-117.08017373984383,32.7499845507494
129004,BP-000902-046,50028920,A,-117.07897059895699,32.752794945783414
129025,BP-000951-012,50028950,A,-117.05768391096277,32.715160617858025
129026,BP-000951-014,50028952,A,-117.05786155536256,32.71514909115316
129028,BP-000951-016,50028955,A,-117.05711110955777,32.71461996347388
129033,BP-000951-002,50028963,A,-117.05645935458988,32.715303352985366
129037,BP-000951-006,50028968,A,-117.05611764948372,32.715471398351504
129041,BP-000951-010,50028976,A,-117.05622203148245,32.715491442492834
129043,BP-001229-002,50028978,A,-117.05718353062665,32.71639168661118
129046,BP-001229-005,50028983,A,-117.0560810450155,32.7160843598195
129049,BP-001229-008,50028986,A,-117.0567839133218,32.716995416997975
129067,BP-001222-001,50029016,A,-117.13393625039524,32.72636877653495
129068,BP-001222-002,50029017,A,-117.13394580791534,32.72656194043406
129071,BP-001222-005,50029021,A,-117.13516333572538,32.727152229792615
129082,BP-000700-018,50029032,A,-117.08272165333071,32.91039793284377
129083,BP-000700-019,50029033,A,-117.08246718593574,32.910510897199856
129084,BP-000700-002,50029034,A,-117.08287615559662,32.910174391266445
