,tract,blockgroup,count,graffiti_count,dump_count,lighting_count,mobile_counts,web_counts,phone_counts,gsl_meandist,gsl_stddist,gsl_mediandist,dsl_meandist,dsl_stddist,dsl_mediandist,sl_count,landarea,cent_lat,cent_lon,sl_density,total_pop,rep_per_cap,graffiti_per,dump_per,lighting_per,tract_in_city
0,10013.0,2.0,11.0,7.0,0.0,0.0,1.0,4.0,5.0,71.8375719227,71.8375719227,59.348332429,,,,33.0,404606.0,32.5564082,-117.050798,8.15608270762e-05,3624,0.0030353200883,0.636363636364,0.0,0.0,1.0
1,10103.0,3.0,39.0,26.0,1.0,0.0,25.0,9.0,5.0,78.0487031311,78.0487031311,62.2502517868,141.987976698,141.987976698,141.987976698,38.0,397184.0,32.5798625,-117.1013027,9.56735417338e-05,2691,0.0144927536232,0.666666666667,0.025641025641,0.0,1.0
2,10104.0,2.0,86.0,45.0,2.0,2.0,21.0,59.0,6.0,109.044042846,109.044042846,91.5346376751,224.792537169,224.792537169,224.792537169,77.0,657709.0,32.5728369,-117.0970686,0.000117073052064,1619,0.0531192093885,0.523255813953,0.0232558139535,0.0232558139535,1.0
3,10103.0,2.0,28.0,6.0,1.0,0.0,16.0,11.0,1.0,109.118295782,109.118295782,95.4636178603,51.5682800403,51.5682800403,51.5682800403,26.0,466481.0,32.5804618,-117.0958427,5.57364608634e-05,2133,0.0131270511017,0.214285714286,0.0357142857143,0.0,1.0
4,10106.0,1.0,18.0,10.0,1.0,0.0,4.0,5.0,9.0,121.56612523,121.56612523,150.990167729,201.311257623,201.311257623,201.311257623,38.0,736442.0,32.5724954,-117.0705189,5.15994470712e-05,2370,0.00759493670886,0.555555555556,0.0555555555556,0.0,1.0
5,8504.0,1.0,10.0,1.0,3.0,2.0,6.0,4.0,,143.3475128,143.3475128,143.3475128,161.394023854,161.394023854,166.147563355,14.0,222490.0,32.8304182,-117.2004751,6.29241763675e-05,584,0.0171232876712,0.1,0.3,0.2,1.0
6,4100.0,4.0,32.0,5.0,4.0,5.0,11.0,17.0,4.0,88.1706789443,88.1706789443,47.3437735659,160.534914854,160.534914854,173.321235602,100.0,847384.0,32.7149318,-117.124618,0.000118010252731,1905,0.0167979002625,0.15625,0.125,0.15625,1.0
7,4200.0,4.0,21.0,2.0,8.0,0.0,9.0,9.0,3.0,113.840032937,113.840032937,113.840032937,108.707028812,108.707028812,75.3066567032,26.0,474314.0,32.7259543,-117.1212151,5.4816007961e-05,813,0.0258302583026,0.0952380952381,0.380952380952,0.0,1.0
8,5400.0,3.0,18.0,2.0,1.0,5.0,11.0,2.0,5.0,36.9008544059,36.9008544059,36.9008544059,90.8699329594,90.8699329594,90.8699329594,84.0,74090.0,32.7122706,-117.1691386,0.00113375624241,945,0.0190476190476,0.111111111111,0.0555555555556,0.277777777778,1.0
9,6100.0,2.0,39.0,7.0,6.0,9.0,12.0,22.0,5.0,106.733453817,106.733453817,108.988159178,64.2679670863,64.2679670863,65.5462398279,93.0,448379.0,32.7342169,-117.1742465,0.000207413817329,546,0.0714285714286,0.179487179487,0.153846153846,0.230769230769,1.0
